PRODUCT_ID,DESCRIPTION,PRODUCT_TYPE,PRODAREA,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,FG_HIER_LEVEL_1,FG_HIER_LEVEL_2,FG_HIER_LEVEL_3,END_ITEM,DP_COMP,FG_COMP,VIRTUAL,DP_COMP_KEY,FG_COMP_KEY,VIRTUAL_KEY,A_MAT_STATUS,LATE_FORECAST,LATE_SALES
220-0230-012,Fiber;OM2;12m,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
260-0144,BOSA Ass-BOM;CWDM4 Duplex LC(Avago DFB),M,OPTICAL,OB,OB,Optical,NA,NA,NA,-,,,,,,,-,-,-
260-0149,BOSA;CGR4 Gen3 V2.0;Weld+Sumi DFB+Cos PD,M,OPTICAL,OB,OB,Optical,NA,NA,NA,-,,,,,,,-,-,-
260-0152-01,BOSA Ass-BOM;CWDM4 V2.0;Weld(Mit+M37244),M,OPTICAL,OB,OB,Optical,NA,NA,NA,-,,,,,,,-,-,-
260-0158-01,BOSA Ass-BOM;CWDM4;Adhe(Mits DFB+M37244),M,OPTICAL,OB,OB,Optical,NA,NA,NA,-,,,,,,,-,-,-
260-0174-02,BOSA Ass-BOM;CWDM4 V2.0;Weld;Ocl+GN2110B,M,OPTICAL,OB,OB,Optical,NA,NA,NA,-,,,,,,,-,-,-
262-0006,OE BOM;100G Gen3 AOC;II-VI Vcsel+ULM,M,OPTICAL,OE,OE,Optical,NA,NA,NA,-,,,,,,,-,-,-
262-0007,OE BOM;100G SR4 Gen3;II-VI Vcsel+ULM,M,OPTICAL,OE,OE,Optical,NA,NA,NA,-,,,,,,,-,-,-
262-0012,OE BOM;QSFP28 SR4 V2M;24.33G CPRI,M,OPTICAL,OE,OE,Optical,NA,NA,NA,-,,,,,,,-,-,-
100-0018,Capacitor;22uF;±20%;0805;X5R;6.3V,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
100-0025,Capacitor;10000pF;±10%;0201;X7R;10V,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
100-0086,Capacitor;0.1uF;±10%;01005;X5R;6.3V,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
100-0086-01,Capacitor;Murata;GRM022R60J104KE15D,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
110-0003,Resistor;0201;±5%;1M ohm,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
110-0284,Thermistors;-40°C～+125°C,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
120-0046,Inductor;10uH;±20%;0603;lead free,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
120-0247,Inductor;4.7uH±20%;1MKz;1.2A;0.312ohm,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
140-0179,IC;High-Efficiency;Step-Down Converter,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
140-0471,IC;Quad 24.33G/25.78G CDR/VCSEL Driver,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
140-0547,IC;Quad 25Gb/s TIA & CDR Receiver Array,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
160-1169,PCB sub board,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
160-1291,PCB,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
161-0159,TX FPC,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
220-0072,MT Ferrule Connector /MM(OM3),M,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
220-0134-003,Cable;OFNP;3m,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
220-0211-020,Cable;20m;LSZH Aqua,M,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
220-0230-003,Fiber;OM2;3m,M,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
220-0230-013,Fiber;OM2;13m,P,OPTICAL,Raw,Raw,Optical,NA,NA,NA,-,,,,,,,-,-,-
260-0135,BOSA As BOM;QSFP28 CGR4 Gen3 bidi;GCS PD,M,OPTICAL,OB,OB,Optical,NA,NA,NA,-,,,,,,,-,-,-
260-0137,Ass-Bom;CGR4 Gen3;Sumi DFB+GCS PD+GN2110,M,OPTICAL,OB,OB,Optical,NA,NA,NA,-,,,,,,,-,-,-
260-0141-03,BOSA Ass-BOM;CWDM4 V2.0(Weld+Renesa DFB),M,OPTICAL,OB,OB,Optical,NA,NA,NA,-,,,,,,,-,-,-
260-0152-03,BOSA Ass-BOM;CWDM4;Weld(Ren DFB+M37244),M,OPTICAL,OB,OB,Optical,NA,NA,NA,-,,,,,,,-,-,-
260-0156,BOSA AssBOM;CWDM4(Weld;CH1;2;3_Mits+CH4),M,OPTICAL,OB,OB,Optical,NA,NA,NA,-,,,,,,,-,-,-
260-0175,BOSA Ass-BOM;CLR4 ET Gen1;Ocl;GCS PD;MPD,M,OPTICAL,OB,OB,Optical,NA,NA,NA,-,,,,,,,-,-,-
260-0176,BOSA Ass-BOM;CWDM4 V2.0;Weld(Ocl+GN2105),M,OPTICAL,OB,OB,Optical,NA,NA,NA,-,,,,,,,-,-,-
260-0198,BOSA Ass-BOM;CWDM4 V2.0;Gen3 Mit+M37244,M,OPTICAL,OB,OB,Optical,NA,NA,NA,-,,,,,,,-,-,-
260-0199,BOSA Ass-BOM;CWDM4 V2.0(Gen3 Mit DFB),M,OPTICAL,OB,OB,Optical,NA,NA,NA,-,,,,,,,-,-,-
260-0237,BOSA;CWDM4 COP V2.0;Amazon;Sumitomo,M,OPTICAL,OB,OB,Optical,NA,NA,NA,-,,,,,,,-,-,-
260-0262,BOSA;CWDM4 COP;Weld(CGR4 Ocl DFB+M37244,M,OPTICAL,OB,OB,Optical,NA,NA,NA,-,,,,,,,-,-,-
260-0277,BOSA;CWDM4;AWS(Welding;+Ocl-EBI+M37244),M,OPTICAL,OB,OB,Optical,NA,NA,NA,-,,,,,,,-,-,-
260-0354,BOSA BOM;Q28 CWDM4(CH1 SEI;CH2;3;4Avago),M,OPTICAL,OB,OB,Optical,NA,NA,NA,-,,,,,,,-,-,-
260-0470-CD,BOSA BOM;100G C4 Gen3.1;Oclaro+Sif;BK,M,OPTICAL,OB,OB,Optical,NA,NA,NA,-,,,,,,,-,-,-
262-0015,OE BOM;100G QSFP28 SR4 V2M; Avago&ULM,M,OPTICAL,OE,OE,Optical,NA,NA,NA,-,,,,,,,-,-,-
260-0141-05,BOSA Ass-BOM;CWDM4 V2.0(Weld+Avago DFB),M,OPTICAL,OB,OB,Optical,NA,NA,NA,-,,,,,,,-,-,-
260-0146-03,Ass CGR4Gen3 SumitoDFB+Cosemi PD+GN2110B,M,OPTICAL,OB,OB,Optical,NA,NA,NA,-,,,,,,,-,-,-
260-0250,BOSA;COP Gen3 (SEI DFB;GN2110S;Sif PD ),M,OPTICAL,OB,OB,Optical,NA,NA,NA,-,,,,,,,-,-,-
260-0274,BOSA;CGR4 G3;Sumitomo+GCS PD+GN2110B),M,OPTICAL,OB,OB,Optical,NA,NA,NA,-,,,,,,,-,-,-
260-0306,BOSA;COP Gen3(SEI;2110S;Sif;Kovar HS ),M,OPTICAL,OB,OB,Optical,NA,NA,NA,-,,,,,,,-,-,-
