BOM_ID,LOCATION_ID,PARENT_ID,ALT_GROUP,PREFERENCE,ELEM_IX,CHILD_ID,NEW_SUPPLY,GRADE,RATE,BATCH_SIZE,EFFECTIVE_START,EFFECTIVE_END,OBSOLETE
BOM_500-3417-030,-,500-3417-030,-,1,0,502-1600-XXX,-,-,1,-,-,-,-
BOM_500-3417-030,-,500-3417-030,-,1,0,VirtualProduct_500-3417-030_A1,-,-,1,-,-,-,-
BOM_500-3417-040,-,500-3417-040,-,1,0,280-0845-040,-,-,1,-,-,-,-
BOM_500-3417-040,-,500-3417-040,-,1,0,502-1600-XXX,-,-,1,-,-,-,-
BOM_500-3417-100,-,500-3417-100,-,1,0,280-0845-100,-,-,1,-,-,-,-
BOM_500-3417-100,-,500-3417-100,-,1,0,502-1600-XXX,-,-,1,-,-,-,-
BOM_500-3418,-,500-3418,-,1,0,502-1713,-,-,1,-,-,-,-
BOM_500-3425,-,500-3425,-,1,0,502-1606,-,-,1,-,-,-,-
BOM_500-3426-001,-,500-3426-001,-,1,0,502-1600-XXX,-,-,1,-,-,-,-
BOM_500-3426-001,-,500-3426-001,-,1,0,910-0866,-,-,1,-,-,-,-
BOM_500-3426-001,-,500-3426-001,-,1,0,VirtualProduct_500-3426-001_A1,-,-,1,-,-,-,-
BOM_500-3426-002,-,500-3426-002,-,1,0,502-1600-XXX,-,-,1,-,-,-,-
BOM_500-3426-002,-,500-3426-002,-,1,0,910-0866,-,-,1,-,-,-,-
BOM_500-3426-002,-,500-3426-002,-,1,0,VirtualProduct_500-3426-002_A1,-,-,1,-,-,-,-
BOM_500-3426-003,-,500-3426-003,-,1,0,502-1600-XXX,-,-,1,-,-,-,-
BOM_500-3426-003,-,500-3426-003,-,1,0,910-0866,-,-,1,-,-,-,-
BOM_500-3426-003,-,500-3426-003,-,1,0,VirtualProduct_500-3426-003_A1,-,-,1,-,-,-,-
BOM_500-3426-005,-,500-3426-005,-,1,0,502-1600-XXX,-,-,1,-,-,-,-
BOM_500-3426-005,-,500-3426-005,-,1,0,910-0866,-,-,1,-,-,-,-
BOM_500-3426-005,-,500-3426-005,-,1,0,VirtualProduct_500-3426-005_A1,-,-,1,-,-,-,-
BOM_500-3426-006,-,500-3426-006,-,1,0,502-1600-XXX,-,-,1,-,-,-,-
BOM_500-3426-006,-,500-3426-006,-,1,0,910-0866,-,-,1,-,-,-,-
BOM_500-3426-006,-,500-3426-006,-,1,0,VirtualProduct_500-3426-006_A1,-,-,1,-,-,-,-
BOM_500-3426-007,-,500-3426-007,-,1,0,502-1600-XXX,-,-,1,-,-,-,-
BOM_500-3426-007,-,500-3426-007,-,1,0,910-0866,-,-,1,-,-,-,-
BOM_500-3426-007,-,500-3426-007,-,1,0,VirtualProduct_500-3426-007_A1,-,-,1,-,-,-,-
BOM_500-3426-015,-,500-3426-015,-,1,0,502-1600-XXX,-,-,1,-,-,-,-
BOM_500-3426-015,-,500-3426-015,-,1,0,910-0866,-,-,1,-,-,-,-
BOM_500-3426-015,-,500-3426-015,-,1,0,VirtualProduct_500-3426-015_A1,-,-,1,-,-,-,-
BOM_500-3426-025,-,500-3426-025,-,1,0,502-1600-XXX,-,-,1,-,-,-,-
BOM_500-3426-025,-,500-3426-025,-,1,0,910-0866,-,-,1,-,-,-,-
BOM_500-3426-025,-,500-3426-025,-,1,0,VirtualProduct_500-3426-025_A1,-,-,1,-,-,-,-
BOM_500-3426-030,-,500-3426-030,-,1,0,502-1600-XXX,-,-,1,-,-,-,-
BOM_500-3426-030,-,500-3426-030,-,1,0,910-0866,-,-,1,-,-,-,-
BOM_500-3426-030,-,500-3426-030,-,1,0,VirtualProduct_500-3426-030_A1,-,-,1,-,-,-,-
BOM_500-3426-040,-,500-3426-040,-,1,0,280-0845-040,-,-,1,-,-,-,-
BOM_500-3426-040,-,500-3426-040,-,1,0,502-1600-XXX,-,-,1,-,-,-,-
BOM_500-3426-040,-,500-3426-040,-,1,0,910-0866,-,-,1,-,-,-,-
BOM_500-3426-050,-,500-3426-050,-,1,0,280-0845-050,-,-,1,-,-,-,-
BOM_500-3426-050,-,500-3426-050,-,1,0,502-1600-XXX,-,-,1,-,-,-,-
BOM_500-3426-050,-,500-3426-050,-,1,0,910-0866,-,-,1,-,-,-,-
BOM_500-3432-001,-,500-3432-001,-,1,0,502-1600-XXX,-,-,1,-,-,-,-
BOM_500-3432-001,-,500-3432-001,-,1,0,910-0866,-,-,1,-,-,-,-
BOM_500-3432-001,-,500-3432-001,-,1,0,VirtualProduct_500-3432-001_A1,-,-,1,-,-,-,-
BOM_500-3432-003,-,500-3432-003,-,1,0,502-1600-XXX,-,-,1,-,-,-,-
BOM_500-3432-003,-,500-3432-003,-,1,0,910-0866,-,-,1,-,-,-,-
BOM_500-3432-003,-,500-3432-003,-,1,0,VirtualProduct_500-3432-003_A1,-,-,1,-,-,-,-
BOM_500-3432-005,-,500-3432-005,-,1,0,502-1600-XXX,-,-,1,-,-,-,-
BOM_500-3432-005,-,500-3432-005,-,1,0,910-0866,-,-,1,-,-,-,-
BOM_500-3432-005,-,500-3432-005,-,1,0,VirtualProduct_500-3432-005_A1,-,-,1,-,-,-,-
BOM_500-3432-007,-,500-3432-007,-,1,0,502-1600-XXX,-,-,1,-,-,-,-
BOM_500-3432-007,-,500-3432-007,-,1,0,910-0866,-,-,1,-,-,-,-
BOM_500-3432-007,-,500-3432-007,-,1,0,VirtualProduct_500-3432-007_A1,-,-,1,-,-,-,-
BOM_500-3432-010,-,500-3432-010,-,1,0,502-1600-XXX,-,-,1,-,-,-,-
BOM_500-3432-010,-,500-3432-010,-,1,0,910-0866,-,-,1,-,-,-,-
BOM_500-3432-010,-,500-3432-010,-,1,0,VirtualProduct_500-3432-010_A1,-,-,1,-,-,-,-
BOM_500-3432-015,-,500-3432-015,-,1,0,502-1600-XXX,-,-,1,-,-,-,-
BOM_500-3432-015,-,500-3432-015,-,1,0,910-0866,-,-,1,-,-,-,-
BOM_500-3432-015,-,500-3432-015,-,1,0,VirtualProduct_500-3432-015_A1,-,-,1,-,-,-,-
BOM_500-3432-020,-,500-3432-020,-,1,0,502-1600-XXX,-,-,1,-,-,-,-
BOM_500-3432-020,-,500-3432-020,-,1,0,910-0866,-,-,1,-,-,-,-
BOM_500-3432-020,-,500-3432-020,-,1,0,VirtualProduct_500-3432-020_A1,-,-,1,-,-,-,-
BOM_500-3432-030,-,500-3432-030,-,1,0,502-1600-XXX,-,-,1,-,-,-,-
BOM_500-3432-030,-,500-3432-030,-,1,0,910-0866,-,-,1,-,-,-,-
