CASE,LOCATION,COMLOCATION,COMLOCATION_UDA_PROD_AREA,COMLOCATION_UDA_TECHNOLOGY,COMLOCATION_UDA_SHARED,COMLOCATION_UDA_PACKAGE,CAPACITY,UOM,BUILDPOLICY,BUILDEARLYLIMIT,BUILD_AHEAD,START,END,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,COMMODITY,VENDOR,CATEGORY,RELATION,PLANNER,TIME_LEVEL,CORRESPONDS
-,1000,-,OPTICAL,LENS,-,F02,5656,WEEK,-,-,-,6/3/24,6/9/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,1000,-,OPTICAL,LENS,-,F02,5656,WEEK,-,-,-,6/10/24,6/16/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,2000,-,OPTICAL,LENS,-,F02,5656,WEEK,-,-,-,6/10/24,6/16/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,2000,-,OPTICAL,LENS,-,F02,5656,WEEK,-,-,-,6/17/24,6/23/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,1000,-,OPTICAL,LENS,-,F02,5656,WEEK,-,-,-,6/17/24,6/23/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,1000,-,OPTICAL,LENS,-,F02,5656,WEEK,-,-,-,6/24/24,6/30/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,2000,-,OPTICAL,LENS,-,F02,5656,WEEK,-,-,-,6/24/24,6/30/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,1000,-,OPTICAL,LENS,-,F02,5936,WEEK,-,-,-,7/1/24,7/7/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,2000,-,OPTICAL,LENS,-,F02,5936,WEEK,-,-,-,7/1/24,7/7/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,2000,-,OPTICAL,LENS,-,F02,5936,WEEK,-,-,-,7/8/24,7/14/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,1000,-,OPTICAL,LENS,-,F02,5936,WEEK,-,-,-,7/8/24,7/14/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,2000,-,OPTICAL,LENS,-,F02,5936,WEEK,-,-,-,7/15/24,7/21/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,1000,-,OPTICAL,LENS,-,F02,5936,WEEK,-,-,-,7/15/24,7/21/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,1000,-,OPTICAL,LENS,-,F02,5936,WEEK,-,-,-,7/22/24,7/28/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,2000,-,OPTICAL,LENS,-,F02,5936,WEEK,-,-,-,7/22/24,7/28/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,1000,-,OPTICAL,LENS,-,F02,5936,WEEK,-,-,-,7/29/24,8/4/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,2000,-,OPTICAL,LENS,-,F02,5936,WEEK,-,-,-,7/29/24,8/4/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,1000,-,OPTICAL,LENS,-,F02,5936,WEEK,-,-,-,8/5/24,8/11/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,2000,-,OPTICAL,LENS,-,F02,5936,WEEK,-,-,-,8/5/24,8/11/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,2000,-,OPTICAL,LENS,-,F02,5936,WEEK,-,-,-,8/12/24,8/18/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,1000,-,OPTICAL,LENS,-,F02,5936,WEEK,-,-,-,8/12/24,8/18/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,2000,-,OPTICAL,LENS,-,F02,5936,WEEK,-,-,-,8/19/24,8/25/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,1000,-,OPTICAL,LENS,-,F02,5936,WEEK,-,-,-,8/19/24,8/25/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,1000,-,OPTICAL,LENS,-,F02,5955,WEEK,-,-,-,8/26/24,9/1/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,2000,-,OPTICAL,LENS,-,F02,5955,WEEK,-,-,-,8/26/24,9/1/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,2000,-,OPTICAL,LENS,-,F02,6069,WEEK,-,-,-,9/2/24,9/8/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,1000,-,OPTICAL,LENS,-,F02,6069,WEEK,-,-,-,9/2/24,9/8/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,1000,-,OPTICAL,LENS,-,F02,6069,WEEK,-,-,-,9/9/24,9/15/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,2000,-,OPTICAL,LENS,-,F02,6069,WEEK,-,-,-,9/9/24,9/15/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,1000,-,OPTICAL,LENS,-,F02,6069,WEEK,-,-,-,9/16/24,9/22/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,2000,-,OPTICAL,LENS,-,F02,6069,WEEK,-,-,-,9/16/24,9/22/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,1000,-,OPTICAL,LENS,-,F02,6069,WEEK,-,-,-,9/23/24,9/29/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,2000,-,OPTICAL,LENS,-,F02,6069,WEEK,-,-,-,9/23/24,9/29/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,1000,-,OPTICAL,LENS,-,F02,4275,WEEK,-,-,-,9/30/24,10/6/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,2000,-,OPTICAL,LENS,-,F02,4275,WEEK,-,-,-,9/30/24,10/6/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,1000,-,OPTICAL,LENS,-,F02,3976,WEEK,-,-,-,10/7/24,10/13/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,2000,-,OPTICAL,LENS,-,F02,3976,WEEK,-,-,-,10/7/24,10/13/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,2000,-,OPTICAL,LENS,-,F02,3976,WEEK,-,-,-,10/14/24,10/20/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,1000,-,OPTICAL,LENS,-,F02,3976,WEEK,-,-,-,10/14/24,10/20/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
-,1000,-,OPTICAL,LENS,-,F02,3976,WEEK,-,-,-,10/21/24,10/27/24,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,-,-,-,-,-,-,-
