PRODUCT_ID,LOCATION,PREFERENCE,COST,MIN_SUPPLY,MAX_SUPPLY,LEAD_DAYS_SUPPLY,CYCLE_DAYS_SUPPLY,VENDOR_ID,EFFECTIVE_START,EFFECTIVE_END,HIER_LEVEL_1,HIER_LEVEL,HIER_LEVEL_3,process_unit_cost
100-0074,2000,30,10,100,1000,151,10,0000100148,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1
140-0246,2000,20,10,100,1000,193,10,0000200009,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1
310-0323,2000,10,10,100,1000,100,10,0000100170,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1
280-0439,2000,10,10,100,1000,53,10,0000100143,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1
280-0551,2000,20,10,100,1000,50,10,0000100143,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1
280-0552,2000,10,10,100,1000,50,10,0000100143,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1
280-0553,2000,20,10,100,1000,50,10,0000100143,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1
280-0554,2000,10,10,100,1000,52,10,0000100143,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1
280-0556,2000,10,10,100,1000,53,10,0000100143,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1
280-0558,2000,10,10,100,1000,53,10,0000100143,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1
280-0431,2000,60,10,100,1000,53,10,0000100132,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1
100-0088,2000,10,10,100,1000,151,10,0000100100,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1
100-0086,2000,30,10,100,1000,149,10,0000100100,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1
110-0272,2000,20,10,100,1000,123,10,0000100067,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1
110-0246,2000,20,10,100,1000,100,10,0000100067,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1
110-0267,2000,20,10,100,1000,123,10,0000100067,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1
120-0120,2000,20,10,100,1000,151,10,0000100083,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1
110-0011,2000,10,10,100,1000,123,10,0000100163,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1
110-0241,2000,20,10,100,1000,123,10,0000100163,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1
160-1132,2000,10,10,100,1000,100,10,0000100019,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1
280-0587,2000,10,10,100,1000,100,10,0000200017,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1
110-0083,2000,20,10,100,1000,100,10,0000100067,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1
280-0489,2000,10,10,100,1000,100,10,0000200017,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1
110-0019,2000,20,10,100,1000,100,10,0000100067,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1
280-0555,2000,30,10,100,1000,53,10,0000100143,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1
280-0557,2000,30,10,100,1000,53,10,0000100143,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1
140-0355,2000,10,10,100,1000,221,10,0000200011,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1
140-0340,2000,10,10,100,1000,100,10,0000200070,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1
140-0345,2000,10,10,100,1000,100,10,0000200070,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1
320-0368,2000,10,10,100,1000,100,10,0000200071,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1
110-0003,2000,20,10,100,1000,100,10,0000100067,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1
110-0063,2000,20,10,100,1000,100,10,0000100067,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1
110-0177,2000,30,10,100,1000,123,10,0000100067,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1
100-0061,2000,10,10,100,1000,151,10,0000100100,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1
100-0088,2000,20,10,100,1000,151,10,0000100148,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1
120-0138,2000,20,10,100,1000,100,10,0000100100,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1
110-0214,2000,10,10,100,1000,100,10,0000100067,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1
110-0237,2000,20,10,100,1000,123,10,0000100067,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1
300-0140,2000,30,10,100,1000,100,10,0000100189,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1
300-0141,2000,10,10,100,1000,100,10,0000100189,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1
310-0357,2000,30,10,100,1000,100,10,0000100189,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1
110-0172,2000,20,10,100,1000,100,10,0000100067,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1
280-0650,2000,30,10,100,1000,67,10,0000100094,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1
310-0369,2000,10,10,100,1000,100,10,0000100078,-,-,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,1
