PRODUCT,FROM_LOCATION,TO_LOCATION,TRANS_RT,MODE,PREFERENCE,COST,TRANSIT_TIME,TRANSIT_TIME_UOM,EFFECTIVE_START,EFFECTIVE_END,DEST_TYPE,ASSY_LOC,HIER_LEVEL_1,HIER_LEVEL_,HIER_LEVEL_3,process_unit_cost
140-0834,VMI2,TL_TXCOC,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_TXCOC,TXCOC,ALL,1
140-0246,VMI2,TL_TXCOC,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_TXCOC,TXCOC,ALL,1
140-0179,VMI2,TL_TXCOC,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_TXCOC,TXCOC,ALL,1
140-0386,VMI2,TL_TXCOC,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_TXCOC,TXCOC,ALL,1
140-0341,VMI2,TH_TXCOC,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TH_TXCOC,TXCOC,ALL,1
140-0221,VMI2,TH_TXCOC,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TH_TXCOC,TXCOC,ALL,1
140-0834,VMI2,TH_TXCOC,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TH_TXCOC,TXCOC,ALL,1
140-0246,VMI2,TH_TXCOC,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TH_TXCOC,TXCOC,ALL,1
140-0179,VMI2,TH_TXCOC,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TH_TXCOC,TXCOC,ALL,1
140-0386,VMI2,TH_TXCOC,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TH_TXCOC,TXCOC,ALL,1
320-0611,VMI2,SZ_PREF,-,ROAD,3,0.002,1,DAYS,-,-,-,-,SZ_PREF,PREFORM,ALL,1
320-0493,VMI2,SZ_PREF,-,ROAD,3,0.002,1,DAYS,-,-,-,-,SZ_PREF,PREFORM,ALL,1
280-0431,VMI2,SZ_PREF,-,ROAD,3,0.002,1,DAYS,-,-,-,-,SZ_PREF,PREFORM,ALL,1
282-0041,VMI2,SZ_PREF,-,ROAD,3,0.002,1,DAYS,-,-,-,-,SZ_PREF,PREFORM,ALL,1
320-0443,VMI2,SZ_PREF,-,ROAD,3,0.002,1,DAYS,-,-,-,-,SZ_PREF,PREFORM,ALL,1
282-0040,VMI2,SZ_PREF,-,ROAD,3,0.002,1,DAYS,-,-,-,-,SZ_PREF,PREFORM,ALL,1
288-0005,VMI2,SZ_PREF,-,ROAD,3,0.002,1,DAYS,-,-,-,-,SZ_PREF,PREFORM,ALL,1
320-0438,VMI2,SZ_PREF,-,ROAD,3,0.002,1,DAYS,-,-,-,-,SZ_PREF,PREFORM,ALL,1
280-0650,VMI2,SZ_PREF,-,ROAD,3,0.002,1,DAYS,-,-,-,-,SZ_PREF,PREFORM,ALL,1
320-0412,VMI2,SZ_PREF,-,ROAD,3,0.002,1,DAYS,-,-,-,-,SZ_PREF,PREFORM,ALL,1
280-0698,VMI2,SZ_PREF,-,ROAD,3,0.002,1,DAYS,-,-,-,-,SZ_PREF,PREFORM,ALL,1
288-0001,VMI2,SZ_PREF,-,ROAD,3,0.002,1,DAYS,-,-,-,-,SZ_PREF,PREFORM,ALL,1
280-0848,VMI2,SZ_PREF,-,ROAD,3,0.002,1,DAYS,-,-,-,-,SZ_PREF,PREFORM,ALL,1
301-0022,VMI2,SZ_PREF,-,ROAD,3,0.002,1,DAYS,-,-,-,-,SZ_PREF,PREFORM,ALL,1
320-0611,VMI2,TL_PREF,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PREF,PREFORM,ALL,1
320-0493,VMI2,TL_PREF,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PREF,PREFORM,ALL,1
280-0431,VMI2,TL_PREF,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PREF,PREFORM,ALL,1
282-0041,VMI2,TL_PREF,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PREF,PREFORM,ALL,1
320-0443,VMI2,TL_PREF,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PREF,PREFORM,ALL,1
282-0040,VMI2,TL_PREF,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PREF,PREFORM,ALL,1
288-0005,VMI2,TL_PREF,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PREF,PREFORM,ALL,1
320-0438,VMI2,TL_PREF,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PREF,PREFORM,ALL,1
280-0650,VMI2,TL_PREF,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PREF,PREFORM,ALL,1
320-0412,VMI2,TL_PREF,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PREF,PREFORM,ALL,1
280-0698,VMI2,TL_PREF,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PREF,PREFORM,ALL,1
288-0001,VMI2,TL_PREF,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PREF,PREFORM,ALL,1
280-0848,VMI2,TL_PREF,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PREF,PREFORM,ALL,1
301-0022,VMI2,TL_PREF,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PREF,PREFORM,ALL,1
320-0611,VMI2,TH_PREF,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TH_PREF,PREFORM,ALL,1
320-0493,VMI2,TH_PREF,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TH_PREF,PREFORM,ALL,1
280-0431,VMI2,TH_PREF,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TH_PREF,PREFORM,ALL,1
282-0041,VMI2,TH_PREF,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TH_PREF,PREFORM,ALL,1
320-0443,VMI2,TH_PREF,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TH_PREF,PREFORM,ALL,1
282-0040,VMI2,TH_PREF,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TH_PREF,PREFORM,ALL,1
288-0005,VMI2,TH_PREF,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TH_PREF,PREFORM,ALL,1
320-0438,VMI2,TH_PREF,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TH_PREF,PREFORM,ALL,1
280-0650,VMI2,TH_PREF,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TH_PREF,PREFORM,ALL,1
320-0412,VMI2,TH_PREF,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TH_PREF,PREFORM,ALL,1
280-0698,VMI2,TH_PREF,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TH_PREF,PREFORM,ALL,1
288-0001,VMI2,TH_PREF,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TH_PREF,PREFORM,ALL,1
280-0848,VMI2,TH_PREF,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TH_PREF,PREFORM,ALL,1
301-0022,VMI2,TH_PREF,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TH_PREF,PREFORM,ALL,1
100-0086,VMI1,TL_PCBA,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PCBA,PCBA,ALL,1
100-0024,VMI1,TL_PCBA,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PCBA,PCBA,ALL,1
100-0061,VMI1,TL_PCBA,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PCBA,PCBA,ALL,1
100-0122,VMI1,TL_PCBA,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PCBA,PCBA,ALL,1
100-0025,VMI1,TL_PCBA,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PCBA,PCBA,ALL,1
100-0033,VMI1,TL_PCBA,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PCBA,PCBA,ALL,1
100-0038,VMI1,TL_PCBA,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PCBA,PCBA,ALL,1
100-0074,VMI1,TL_PCBA,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PCBA,PCBA,ALL,1
100-0062,VMI1,TL_PCBA,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PCBA,PCBA,ALL,1
100-0088,VMI1,TL_PCBA,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PCBA,PCBA,ALL,1
100-0073,VMI1,TL_PCBA,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PCBA,PCBA,ALL,1
100-0115,VMI1,TL_PCBA,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PCBA,PCBA,ALL,1
100-0021,VMI1,TL_PCBA,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PCBA,PCBA,ALL,1
130-0077,VMI1,TL_PCBA,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PCBA,PCBA,ALL,1
120-0129,VMI1,TL_PCBA,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PCBA,PCBA,ALL,1
120-0051,VMI1,TL_PCBA,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PCBA,PCBA,ALL,1
140-0341,VMI1,TL_PCBA,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PCBA,PCBA,ALL,1
140-0221,VMI1,TL_PCBA,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PCBA,PCBA,ALL,1
140-0834,VMI1,TL_PCBA,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PCBA,PCBA,ALL,1
140-0246,VMI1,TL_PCBA,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PCBA,PCBA,ALL,1
140-0179,VMI1,TL_PCBA,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PCBA,PCBA,ALL,1
140-0386,VMI1,TL_PCBA,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PCBA,PCBA,ALL,1
120-0121,VMI1,TL_PCBA,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PCBA,PCBA,ALL,1
120-0143,VMI1,TL_PCBA,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PCBA,PCBA,ALL,1
120-0202,VMI1,TL_PCBA,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PCBA,PCBA,ALL,1
199-0001,VMI1,TL_PCBA,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PCBA,PCBA,ALL,1
160-1153,VMI1,TL_PCBA,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PCBA,PCBA,ALL,1
140-0253,VMI1,TL_PCBA,-,ROAD,3,0.002,1,DAYS,-,-,-,-,TL_PCBA,PCBA,ALL,1
