Customer_ID,CustomerName,PRODUCT_ID,IndustrialStandard,PO_Delivery_Date,PO_Quantity,Quantity,DATE_ID_SHIPPED
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-015,TF-FC015-NC4,80,5/17/2024,80,5/27/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-015,TF-FC015-NC4,80,5/17/2024,80,5/27/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-015,TF-FC015-NC4,80,6/7/2024,80,5/27/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-030,TF-FC030-NC4,80,3/8/2024,80,3/25/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-030,TF-FC030-NC4,80,3/8/2024,80,4/19/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-030,TF-FC030-NC4,80,3/8/2024,80,5/11/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5702,TR-FC85G-NCI,112,2/23/2024,112,2/25/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5702,TR-FC85G-NCI,248,3/1/2024,248,2/25/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5702,TR-FC85G-NCI,252,3/22/2024,252,2/25/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-010,TF-FC010-NC4,320,6/14/2024,320,4/30/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-030,TF-FC030-NC4,40,6/14/2024,40,3/22/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-030,TF-FC030-NC4,120,6/14/2024,120,4/30/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-030,TF-FC030-NC4,120,6/21/2024,120,4/30/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-030,TF-FC030-NC4,160,6/21/2024,160,4/30/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-020,TF-FC020-NC4,40,6/21/2024,40,5/9/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-020,TF-FC020-NC4,40,6/21/2024,40,5/9/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-020,TF-FC020-NC4,40,6/14/2024,40,5/9/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-020,TF-FC020-NC4,80,6/14/2024,80,5/6/2024
200469,Fabrinet C/O Fabrinet Pte.Ltd.,500-5391-020,TF-FC020-NC4,40,6/7/2024,40,5/6/2024
