FG/PN,FG description,Model,Customer abbreviate,PN for customer,,
561-0134-020,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-NC4,,
561-0134-025,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-NC4,,
561-0134-030,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-NC4,,
561-0135-001,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-NC4,,
561-0135-002,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-NC4,,
561-0135-003,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-NC4,,
561-0135-005,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-NC4,,
561-0135-015,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-NC4,,
500-6726,100G QSFP28 SR4,100G QSFP28 SR4,858,TR-FC85S-N00,,
500-3264-020,100G QSFP28 AOC,100G QSFP28 AOC,858,TF-FCxxx-NHP,,
500-5495-003,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-N00,,
500-5495-010,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-N00,,
500-5495-020,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-N00,,
500-5495-030,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-N00,,
500-5495-005,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-N00,,
561-0118,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,international -others,TR-FC85S-NKS,,
500-6672,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,international -others,TR-FC85S-N00,,
500-3480,100G QSFP28 SR4,100G QSFP28 SR4,633,TR-FC85S-NJC,,
500-3665,100G QSFP28 SR4,100G QSFP28 SR4,international -others,TR-FC85S-NED,,
500-6357-003,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,international -others,TF-FCxxx-N00,,
500-4961-001,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,domestic_others,TF-FCxxx-N00,,
500-3264-010,100G QSFP28 AOC,100G QSFP28 AOC,858,TF-FCxxx-NHP,,
500-3265-010,100G QSFP28 AOC,100G QSFP28 AOC,858,TF-FCxxx-N00-H3C,,
500-3425,100G QSFP28 SR4,100G QSFP28 SR4,677,TR-FC85S-NC2,,
500-5495-015,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,677,TF-FCxxx-N00,,
500-5495-002,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-N00,,
500-5495-001,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-N00,,
500-3264-007,100G QSFP28 AOC,100G QSFP28 AOC,858,TF-FCxxx-NHP,,
500-5495-007,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-N00,,
500-3264-007 ,100G QSFP28 AOC,100G QSFP28 AOC,858,TF-FCxxx-NHP,,
500-5495-025,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-N00,,
500-3462-015,100G QSFP28 AOC,100G QSFP28 AOC,677,TF-FCxxx-NC2,,
500-3494,100G QSFP28 SR4,100G QSFP28 SR4,888,TR-FC85S-E00,,
500-5099,100G QSFP28 SR4,100G QSFP28 SR4,888,TR-FC85S-N00,,
500-5986,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,888,TR-FC85S-N00,,
500-5987,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,888,TR-FC85S-N00,,
500-5213,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,international -others,TR-FC85S-N00,,
500-5286,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,833,TR-FC85S-N01,,
500-5329,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,international -others,TR-QQ85X-NPT,,
500-5850,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,domestic -others,TR-FC85S-N00,,
500-5851,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,855,TR-FC85S-N00,,
500-3803,100G QSFP28 SR4,100G QSFP28 SR4,international -others,TR-FC85S-N00,,
500-3166,100G QSFP28 SR4,100G QSFP28 SR4,international -others,TR-FC85S-N00,,
500-4910,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,domestic_others,TR-FC85S-N00,,
500-6159-001,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,domestic_others,TF-FPQYxxx-N00,,
500-6159-020,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,domestic_others,TF-FPQYxxx-N00,,
500-3647-015,100G QSFP28 AOC,100G QSFP28 AOC,858,TF-FCxxx-N00,,
500-6207,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,domestic_others,TR-FC85S-N00,,
500-5664,100G QSFP28 SR4,100G QSFP28 SR4,domestic_others,TR-FC85S-NBK,,
500-6284,100G QSFP28 SR4,100G QSFP28 SR4,domestic_others,TR-FC85S-NBK,,
500-6465,100G QSFP28 SR4 Gen3,100G QSFP28 SR4 Gen3,domestic_others,TR-FC85S-NBK,,
500-3270-005,100G QSFP28 AOC,100G QSFP28 AOC,domestic_others,TF-FPQYxxx-NBK,,
500-3462-002,100G QSFP28 AOC,100G QSFP28 AOC,677,TF-FCxxx-NC2,,
500-3462-005,100G QSFP28 AOC,100G QSFP28 AOC,677,TF-FCxxx-NC2,,
500-3462-007,100G QSFP28 AOC,100G QSFP28 AOC,677,TF-FCxxx-NC2,,
500-3462-030,100G QSFP28 AOC,100G QSFP28 AOC,677,TF-FCxxx-NC2,,
500-3611-001,100G QSFP28 AOC,100G QSFP28 AOC,international -others,TF-FCxxx-N00,,
500-4596-010,100G QSFP28 AOC,100G QSFP28 AOC,international -others,TF-FPQYxxx-M01,,
500-4596-020,100G QSFP28 AOC,100G QSFP28 AOC,international -others,TF-FPQYxxx-M01,,
500-4596-005,100G QSFP28 AOC,100G QSFP28 AOC,international -others,TF-FPQYxxx-M01,,
561-0135-025,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,677,TF-FCxxx-NC4,,
500-6249-003,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,domestic_others,TF-FPQYxxx-M00,,
500-6250-003,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,domestic_others,TF-FCxxx-M00,,
500-6250-010,100G QSFP28 AOC Gen3,100G QSFP28 AOC Gen3,domestic_others,TF-FCxxx-M00,,
500-3884,100G QSFP28 SR4,100G QSFP28 SR4,international -others,TR-FC85S-NAD,,
