FG/PN,FG description,Model,Customer abbreviate,PN for customer,,
500-3925-02,"40G/100G,CWDM4,2Km,Facebook,V2.0,Ocl DFB",CWDM4,678,TR-FC13T-NFB,,
500-3886,"100G eCWDM4 V2.0,for ADVA,GEN3 Mits DFB",ECWDM4,ADVA,TR-FC13X-NAD,,
500-7018,"100G CWDM4 C1,Wingcomm+YJ+Sif,0-70℃,std",成研3.1,domestic_others,TR-FC13T-N00,,
500-3853-02,"100G CWDM4 V2.0,Std,Weld(Ocl DFB+M37244)",CWDM4,international_others,TR-FC13T-N00,,
500-6485,"40G QSFP+ LX4 Gen3(Q28 CWDM4 Gen3),Std",LX4,domestic_others,TR-QQ13Y-N00,,
561-0024,#N/A,QSFP+ LR4,international_others,TR-QQ13L-N00,,
500-6555,"40G LX4 C1,1310nm,Oclaro,CT,Juniper RBU",CY LX4,633,TR-QQ13Y-NJ6,,
500-5423,40G QSFP+ IR4 V3.0(100G Mit DFB)Juniper,QSFP+ IR4,633,TR-QQ13T-NJ4,,
561-0141,"40G&100G,CWDM4 V2,Std Arista(Gen3 Mit)",CWDM4,655,TR-FD13T-NAR,,
500-6700,"40G LX4 C1,1310nm,Oclaro,CT,Std",CY LX4,international_others,TR-QQ13Y-N00,,
500-6421,"100G CWDM4 COP Gen3.1,Mit+Sif,Jingdong",成研3.1,JD,TR-FC13T-N00,,
561-0036,#N/A,QSFP+ LR4,Gigamon,TR-QQ13L-NGT,,
561-0017,"CWDM4 Lite V2.0,Facebook(Ocl DFB),TW",CWDM4 Lite,678,TR-FC13H-HFL,,
500-4342,40G/100G Rate selection QSFP28 CWDM4,CWDM4,international_others,TR-FD13T-N00,,
500-5056,"40G QSFP+LR4 V3 100G CWDM4 Mit DFB,H3C",QSFP+ LR4,858,TR-FC13T-N4X-H3C,,
500-4709,"QSFP28 CWDM4,HT(34061299)(Gen3 Mit)",CWDM4,888,TR-FC13T-N00,,
500-5596,"100G Q28 CWDM4 Gen3,Tencent DCI(SEI,Sif)",COP GEN3 ECWDM4,898,TR-FC13T-NTD,,
500-3918,"100G CWDM4 V2.0,H3C,Weld(Ocl DFB+M37244)",CWDM4,858,TR-FC13T-N00-H3C,,
500-4212,"100G CWDM4 V2.0,HT,34061299,Oclaro DFB",CWDM4,888,TR-FC13T-N00,,
500-5197,40G QSFP+ LR4 V3 Oclaro DFB Gigamon,QSFP+ LR4,Gigamon,TR-QQ13L-NGM,,
500-4835,"QSFP+ IR4 V3.0(100G_Oclaro DFB),blank",QSFP+ IR4,domestic_others,TR-FC13T-N4T-NBK,,
500-5603,"40G QSFP+ IR4 V3.0 Mit Gen3 DFB,Infinera",QSFP+ IR4,Infinera,TR-QQ13T-NI2,,
500-4483,"100G CWDM4 V2,HT,34061299-001,Weld+Ocl",CWDM4,888,TR-FC13T-N00,,
500-6212,"100G CWDM4 COP Gen3.1,Oclaro Recycle,BK",成研3.1,domestic_others,TR-FC13T-NBK,,
500-6278,"100G CWDM4 COP Gen3.1,Mit Recycle,BK",成研3.1,domestic_others,TR-FC13T-NBK,,
500-6209,"100G CWDM4 COP Gen3.1,Mit+Sif,BK",成研3.1,domestic_others,TR-FC13T-NBK,,
500-5523,"40G QSFP+ LR4 V3.0 Oclaro DFB,SB System",QSFP+ LR4,SB,TR-QQ13L-N00,,
561-0008,"40&100G,CWDM4 Lite,for FB(Gen3 Mit),TW",CWDM4 Lite,678,TR-FC13H-HFL,,
500-5054,100G Q28 CWDM4 V2 Tencent Weld+G3 Mit,CWDM4,898,TR-FC13T-NTC,,
500-4623,"40G/100G,CWDM4 V2.0,Std Arista(Weld+Ocl)",CWDM4,655,TR-FD13T-NAR,,
500-5096,CGR4 Gen3 duplex(Sumitomo+GCS+GN2110B),CGR4,666,TR-FC13P-H00,,
500-5387,100G QSFP28 CWDM4 COP Tencent(Weld+Ocl),CWDM4,898,TR-FC13T-NTD,,
500-4703,"CWDM4 V2.0,HT(34061299-001)(Gen3 Mit)",CWDM4,888,TR-FC13T-N00,,
500-5786,"40G&100G CWDM4 COP(S-180),AWS (Oclaro)",CWDM4,688,TR-FC13T-NWD,,
500-3953-06,"40G&100G,CWDM4,Amazon,V2.0(Weld+Ocl DFB)",CWDM4,688,TR-FC13T-NAZ,,
500-5787,"40G&100G eCWDM4 COP(S-180),AWS(Mit Gen3)",ECWDM4,688,TR-FC13X-NWB,,
500-5800,"40G LX4 Gen3,HT(2105B+2110S+SEI+GCS PD)",LX4,888,TR-QQ13Y-N00,,
500-5602,"40G QSFP+ LR4 V3.0 Mit Gen3 DFB,Infinera",QSFP+ LR4,Infinera,TR-QQ13L-NI2,,
500-6240,"100G QSFP28 CWDM4 Gen3,Spiderlink",COP GEN3,domestic_others,TR-FC13T-N00,,
500-4216,"100G CWDM4 V2.0,Gigamon(Weld+Oclaro DFB)",CWDM4,Gigamon,TR-FC13T-NGM,,
500-4330,"100G CWDM4 V2.0,Coriant(Gen3 Mit DFB)",CWDM4,Coriant,TR-FC13T-NCT,,
500-5854,"100G QSFP28 CWDM4 Gen3,Pinduoduo",COP GEN3,拼多多,TR-FC13T-N00,,
500-4448,"100G CWDM4 V2.0,for H3C(Weld+Oclaro DFB)",CWDM4,858,TR-FC13T-N00-H3C,,
500-5055,100G QSFP28 CWDM4 V2 H3C Welding+G3 Mit,CWDM4,858,TR-FC13T-N00-H3C,,
500-5679,"40G&100G QSFP28 CWDM4 COP,AWS(Mit Gen3)",CWDM4,688,TR-FC13T-NWB,,
561-0001,#N/A,CWDM4,688,TR-FC13T-NAZ,,
561-0002,#N/A,ECWDM4,688,TR-FC13X-NAZ,,
561-0010,#N/A,CWDM4,688,TR-FC13T-NAZ,,
561-0011,#N/A,CWDM4,688,TR-FC13T-NAZ,,
500-3776-02-RW,"100G CWDM4 V2.0,Std(Weld+Ocl)for WXZX",CWDM4,international_others,TR-FC13T-N00,,
500-4037,"40G/100G,CWDM4 Lite,FB,V2.0(Ocl+M37244)",CWDM4 Lite,678,TR-FC13H-HFB,,
500-3927-02,"40G100G,CWDM4 Lite,FB,V2.0(Oclaro DFB)",CWDM4 Lite,678,TR-FC13H-HFB,,
500-4023-02,"100G CWDM4 V2.0,Haiwai Ali,Weld+Ocl DFB",CWDM4,818,TR-FC13T-N00,,
500-4210,"100G CWDM4 V2.0,25.78G,34061633,Ocl DFB",CWDM4,888,TR-FC13T-H00,,
500-4211,"100G CWDM4 V2.0,25.78G,34061633-001,Ocl",CWDM4,888,TR-FC13T-H00,,
500-4164-02,"100G CWDM4 V2.0,Tencent(Weldn+Ocl DFB)",CWDM4,898,TR-FC13T-NTC,,
500-4306,"40G/100G,CWDM4 V2.0,for Arista(Ocl DFB)",CWDM4,655,TR-FD13T-N00,,
500-3981-02,"TR-FC13X-N72,eCWDM4 V2.0,AZ,Oclaro",ECWDM4,688,TR-FC13X-NAZ,,
500-4074-02,"40G/100G CWDM4 V2.0,2Km,Stand(Weld+Ocl)",CWDM4,international_others,TR-FD13T-N00,,
500-4624,"40G&100G,CWDM4 V2,Std Arista(Gen3 Mit)",CWDM4,655,TR-FD13T-NAR,,
500-5680,"40G&100G QSFP28 CWDM4 COP,AWS (Ocl DFB)",CWDM4,688,TR-FC13T-NWD,,
500-4626,"100G eCWDM4 V2.0,Arista(Weld+Ocl DFB)",ECWDM4,655,TR-FC13X-NAR,,
500-3980-02,"TR-FC13X-N69,eCWDM4 V2.0,AZ,Oclaro",ECWDM4,688,TR-FC13X-NAZ,,
500-6087,40G QSFP+ IR4 V3.0(100G CWDM4 Oclaro)FH,QSFP+ IR4,868,TR-FC13T-N4T,,
500-3976-02,"TR-FC13X-N50,eCWDM4 V2.0,AZ,Ocl+M37244",ECWDM4,688,TR-FC13X-NAZ,,
500-4326,"40G&100G,CWDM4,FB,V2.0(Gen3 Mit DFB)",CWDM4,678,TR-FC13T-NF3,,
500-4338,#N/A,CWDM4 Lite,678,TR-FC13H-HFB,,
500-4328,#N/A,CWDM4,818,#N/A,,
500-4219-02,"100G CWDM4 V2.0,Arista,Weld+Oclaro DFB",CWDM4,655,TR-FC13T-N00,,
500-4393-02,"100G CWDM4 COP V2.0,BK(Weld+Oclaro DFB)",CWDM4,domestic_others,TR-FC13T-NBK,,
500-3987-02,"100G CWDM4 V2.0,BK,Weld(Ocl DFB+M37244)",CWDM4,domestic_others,TR-FC13T-NBK,,
500-3975-02,"TR-FC13X-N46,eCWDM4 V2.0,AZ,Ocl+M37244",ECWDM4,688,TR-FC13X-NAZ,,
500-5008,"CWDM4,AWS New CTLE,Weld(Gen3 Mit DFB)",CWDM4,688,TR-FC13T-NW1,,
500-5009,"CWDM4,AWS DB Hub New CTLE,Gen3 Mit",CWDM4,688,TR-FC13T-NW1,,
500-4668,"40G/100G,eCWDM4 V2,Amazon,Weld+GEN3 Mit",ECWDM4,688,TR-FC13X-NAZ,,
500-4669,"40G/100G,eCWDM4 V2,Amazon DB,GEN3 Mit",ECWDM4,688,TR-FC13X-NAZ,,
500-3954-02,"40G/100G,CWDM4V2.0,AZ DB,Weld,Ocl+M37244",CWDM4,688,TR-FC13T-NAZ,,
500-5058,100G QSFP28 CWDM4 V2 HP Welding+Gen3 Mit,CWDM4,888,TR-FC13T-NHP,,
500-4062,"100G CWDM4 V2.0,Ruijie(Weld+Oclaro DFB)",CWDM4,立通,TR-FC13T-N00,,
500-3953-02,"40G/100G,CWDM4 V2.0,AZ,Weld(Ocl+M37244)",CWDM4,688,TR-FC13T-NAZ,,
500-5309,"40G&100G,eCWDM4,NAZ(Weld+Oclaro-EBI)",ECWDM4,688,TR-FC13X-NAZ,,
500-4300-02,"40G&100G,eCWDM4,AWS New CTLE,Ocl+M37244",ECWDM4,688,TR-FC13X-NAM,,
500-4515,"40G/100G QSFP28 CWDM4 Lite,Oclaro DFB",CWDM4 Lite,678,TR-FC13H-HF2,,
500-4298-02,"40G&100G,eCWDM4 V2.0,AWS New CTLE,Ocl",ECWDM4,688,TR-FC13X-NAM,,
500-4299-02,"40G&100G,eCWDM4 V2.0,AWS New CTLE DB,Ocl",ECWDM4,688,TR-FC13X-NAM,,
500-4299-02-TW,"40G&100G,eCWDM4 V2.0,AWS New CTLE DB,Ocl",ECWDM4,688,TR-FC13X-NAM,,
500-4298-02-TW,"40G&100G,eCWDM4 for AWS(Welding+Ocl)",ECWDM4,688,TR-FC13X-NAM,,
500-5308,"40G&100G,CWDM4,NAZ(Weld+Oclaro-EBI)",CWDM4,688,TR-FC13T-NAZ,,
500-4987,"QSFP28 CWDM4 Lite,Facebook,V2.0(Ocl DFB)",CWDM4 Lite,678,TR-FC13H-HF3,,
500-4702,"CWDM4 V2.0,25.78G,HT(34061633)(Gn3 Mit)",CWDM4,888,TR-FC13T-H00,,
500-4494,"100G CWDM4 V2,Champion One(Weld+Ocl DFB)",CWDM4,Champion One,TR-FC13T-N00,,
500-3954-06,"40G&100G,CWDM4,AZ DB,V2.0(Weld+Ocl DFB)",CWDM4,688,TR-FC13T-NAZ,,
500-4587,"100G CWDM4 V2,Raisecom(Weld version+Ocl)",CWDM4,Raisecom,TR-FC13T-N00,,
500-4708,"CWDM4,25.78G,HT(34061633-001)(Gen3 Mit)",CWDM4,888,TR-FC13T-H00,,
500-5101,"100G CWDM4 V2,HT,34061299-003,Weld+Ocl",CWDM4,888,TR-FC13T-N00,,
500-5119,100G QSFP28 CWDM4 COP V2 for HT Weld+DFB,CWDM4,888,TR-FC13T-N00,,
500-4889,"CWDM4 COP V2.0,FlexOptix(Oclaro DFB)",CWDM4,FlexOptix,TR-FC13T-N00,,
500-5071,"40G&100G,CWDM4,AWS(NAM),Weld+Oclaro-EBI",CWDM4,688,TR-FC13T-NAM,,
500-4297-02,"40G&100G,CWDM4,AWS NewCTLE DB,Ocl+M37244",CWDM4,688,TR-FC13T-NAM,,
500-4296-02,"40G&100G,CWDM4,AWS New CTLE,Ocl+M37244",CWDM4,688,TR-FC13T-NAM,,
500-4710,"QSFP+ IR4 V3.0(Mit Gen3),HT(34061726)",QSFP+ IR4,888,TR-FC13T-N4T,,
500-4218-02,"100G CWDM4 V2.0,Arista,Weld,Ocl+M37244",CWDM4,655,TR-FC13T-N00,,
500-5178,100G CWDM4 COP Fiberhome(Weld+Ocl DFB),CWDM4,868,TR-FC13T-N00,,
561-0015,#N/A,CWDM4,Champion,TR-FC13T-N00,,
561-0016,#N/A,CWDM4,Champion,TR-FC13T-N00,,
500-5264,"Q28 eCWDM4 V2S Weld&GN2110B&Ocl,Alibaba",ECWDM4,818,TR-FC13X-N00,,
500-4294-02,"40G&100G,CWDM4 V2.0,AWS New CTLE,Ocl DFB",CWDM4,688,TR-FC13T-NAM,,
500-4295-02,"40G&100G,CWDM4 V2.0,AWS New CTLE DB,Ocl",CWDM4,688,TR-FC13T-NAM,,
500-4847,"QSFP28 CWDM4 Lite,Std(Gen3 Mitsubishi)",CWDM4 Lite,international_others,TR-FC13H-N00,,
500-5682,"40G&100G QSFP28 eCWDM4 COP,AWS(Ocl DFB)",ECWDM4,688,TR-FC13X-NWD,,
500-5681,"40G&100G QSFP28 eCWDM4 COP,AWS(Mit Gen3)",ECWDM4,688,TR-FC13X-NWB,,
500-3978-02,"TR-FC13X-N59,eCWDM4 V2.0,Oclaro+M37244",ECWDM4,international_others,TR-FC13X-N00,,
500-6038,"40G QSFP+ LR4 V3.0(Mit Gen3 DFB),Arista",QSFP+ LR4,655,TR-QQ13L-NA1,,
500-4161-02,"100G eCWDM4 V2,Blank(Weld+Oclaro DFB)",ECWDM4,domestic_others,TR-FC13X-NBK,,
500-4762,"QSFP+ LR4 V3.0(100G_Ocl DFB,HT(02310MHS)",QSFP+ LR4,888,TR-QQ13L-N00,,
500-6036,"40G QSFP+ IR4 V3.0(Mit Gen3 DFB),Arista",QSFP+ IR4,655,TR-QQ13T-NA1,,
500-5118,40G&100G eCWDM4 for AWS(Welding+Mit GN3),ECWDM4,688,TR-FC13X-NW1,,
500-4386-02,#N/A,ECWDM4,domestic_others,#N/A,,
500-5788,"40G&100G eCWDM4 COP(S-180),AWS(Oclaro)",ECWDM4,688,TR-FC13X-NWD,,
500-4610,"40G&100G CWDM4,AWS DB New CTLE,Gen3 Mit",CWDM4,688,TR-FC13T-NAM,,
500-4608,"40G&100G CWDM4 V2,AZ DB,Weld(Gen3 Mit)",CWDM4,688,TR-FC13T-NAZ,,
500-4609,"40G&100G CWDM4 V2,AWS New CTLE,Gen3 Mit",CWDM4,688,TR-FC13T-NAM,,
500-4607,"40G&100G CWDM4 V2,Amazon,Weld(Gen3 Mit)",CWDM4,688,TR-FC13T-NAZ,,
500-5605,"40G QSFP+ IR4 V3.0 Oclaro,Infinera",QSFP+ IR4,Infinera,TR-QQ13T-NI2,,
561-0023,#N/A,QSFP+ IR4,international_others,TR-QQ13T-N00,,
500-4301-02,"40&100G,Ecwdm4,AWS NewCTLE DB,Ocl+M37244",ECWDM4,688,TR-FC13X-NAM,,
500-4711,"QSFP+ LR4 V3.0(Mit Gn3),HT(34060645-001)",QSFP+ LR4,888,TR-FC13T-N4X,,
500-5944,"40G LX4 Gen3,HT(SEI+GCS PD)(99014KKD)",LX4,888,TR-QQ13Y-N00,,
500-6045,"QSFP28 COP V2.0,kuaishou(V0)(Weld+Ocl)",CWDM4,833,TR-FC13T-N00,,
500-6306,"40G QSFP+ LX4 Gen3(Q28 CWDM4 Gen3),Blank",LX4,立通,TR-QQ13Y-NBK,,
500-4753,"40G QSFP+ LR4 V3.0(100G Oclaro),Standard",QSFP+ LR4,domestic_others,TR-FC13T-N4X,,
500-4779,"QSFP+ LR4 V3.0(Oclaro DFB),FlexOptix",QSFP+ LR4,FlexOptix,TR-QQ13L-N00,,
500-6413,"100G CWDM4 COP G3.1,MitRecycle,PDD,PCN02",成研3.1,PDD,TR-FC13T-N00,,
500-6415,"100G CWDM4 COP G3.1,Mit Recycle,Jingdong",成研3.1,JD,TR-FC13T-N00,,
500-6419,"100G CWDM4 COP Gen3.1,Mit+Sif,PDD,PCN02",成研3.1,PDD,TR-FC13T-N00,,
500-6277,"100G CWDM4 COP Gen3.1,Oclaro+Sif,BK",成研3.1,domestic_others,TR-FC13T-NBK,,
500-6418,"100G CWDM4 COP Gen3.1,Mit+Sif,kuaishou",成研3.1,833,TR-FC13T-N00,,
500-6073,"100G QSFP28 CGR4 Gen3 V2.0,Google(Ocl)",CGR4,666,TR-FC13P-H00,,
500-5160,"40G QSFP+LR4 V3 Ocl,GCS HT(34060645-003)",QSFP+ LR4,888,TR-FC13T-N4X,,
500-4028-02,40G QSFP+LR4 V3.0(CWDM4 Pla_ Ocl DFB)Std,QSFP+ LR4,international_others,TR-QQ13L-N00,,
500-4561,"40G QSFP+ LR4 V3,CWDM4 S Platform_Ocl,BK",QSFP+ LR4,domestic_others,TR-QQ13L-NBK,,
500-5196,40G QSFP+ LR4 V3 Mit Gen3 DFB Gigamon,QSFP+ LR4,Gigamon,TR-QQ13L-NGM,,
500-5604,"40G QSFP+ LR4 V3.0 Oclaro,Infinera",QSFP+ LR4,Infinera,TR-QQ13L-NI2,,
561-0025,#N/A,CWDM4,633,TR-FC13T-NJ2,,
500-6200,"100G QSFP28 CWDM4 Gen3,kuaishou(V0)",COP GEN3,833,TR-FC13T-N00,,
561-0140,"40G/100G,CWDM4 V2.0,Std Arista(Weld+Ocl)",CWDM4,655,TR-FD13T-NAR,,
500-4561-R,"40G QSFP+ LR4 V3.0(100G CWDM4 Semtech Platform_Oclaro DFB),CWDM,10km,0-70℃,Blank Recycle",QSFP+ LR4,domestic_others,TR-QQ13L-NBK,,
