FG PN,PLANT,Work order code,,,,
500-4562,2000,F35,,,,
500-4587,1000,M51,,,,
500-4587,2000,M51,,,,
500-4607,1000,M51,,,,
500-4607,2000,M51,,,,
500-4607-TW,6000,M51,,,,
500-4608,1000,M51,,,,
500-4608,2000,M51,,,,
500-4609,1000,M51,,,,
500-4609,2000,M51,,,,
500-4610,1000,M51,,,,
500-4610,2000,M51,,,,
500-4611,1000,M51,,,,
500-4611,2000,M51,,,,
500-4618-001,1000,F01,,,,
500-4618-003,1000,F01,,,,
500-4618-005,1000,F01,,,,
500-4618-007,1000,F01,,,,
500-4618-010,1000,F01,,,,
500-4618-015,1000,F01,,,,
500-4618-020,1000,F01,,,,
500-4618-025,1000,F01,,,,
500-4618-030,1000,F01,,,,
500-4618-XXX,1000,F01,,,,
500-4619,1000,F02,,,,
500-4619,2000,F02,,,,
500-4623,1000,M51,,,,
500-4623,2000,M51,,,,
500-4624,1000,M51,,,,
500-4624,2000,M51,,,,
500-4639,1000,F35,,,,
500-4639,2000,F35,,,,
500-4640,1000,F33,,,,
500-4640,2000,F33,,,,
500-4672,1000,M51,,,,
500-4672,2000,M51,,,,
500-4683,1000,F30,,,,
500-4684,1000,F30,,,,
500-4692,1000,F35,,,,
500-4692,2000,F35,,,,
500-4693,1000,F33,,,,
500-4693,2000,F33,,,,
500-4701,1000,F02,,,,
500-4701,2000,F02,,,,
500-4703,1000,M51,,,,
500-4703,2000,M51,,,,
500-4709,1000,M51,,,,
500-4709,2000,M51,,,,
500-4725,1000,F29,,,,
500-4742,1000,F35,,,,
500-4752,1000,F35,,,,
500-4752,2000,F35,,,,
500-4753,1000,F35,,,,
500-4773,1000,M51,,,,
500-4773,2000,M51,,,,
500-4779,1000,F35,,,,
500-4791,1000,F35,,,,
500-4791,2000,F35,,,,
500-4792,1000,F35,,,,
500-4792,2000,F35,,,,
500-4793,1000,F33,,,,
500-4793,2000,F33,,,,
500-4794,1000,F33,,,,
500-4794,2000,F33,,,,
500-4807,1000,F02,,,,
500-4835,1000,F33,,,,
500-4835,2000,F33,,,,
500-4835-R,2000,F33,,,,
500-4840-001,1000,F01,,,,
500-4840-002,1000,F01,,,,
500-4840-003,1000,F01,,,,
500-4840-005,1000,F01,,,,
500-4840-007,1000,F01,,,,
500-4840-010,1000,F01,,,,
500-4840-015,1000,F01,,,,
500-4840-020,1000,F01,,,,
500-4840-025,1000,F01,,,,
500-4840-030,1000,F01,,,,
500-4847,1000,M53,,,,
500-4850,1000,F29,,,,
500-4853,1000,F02,,,,
500-4888,1000,M51,,,,
500-4888,2000,M51,,,,
500-4889,1000,M51,,,,
500-4889,2000,M51,,,,
500-4890,1000,F33,,,,
500-4890,2000,F33,,,,
500-4912,1000,F30,,,,
500-4912,2000,F30,,,,
500-4924,1000,F29,,,,
500-4925,1000,F29,,,,
500-4925,2000,F29,,,,
500-4954,1000,F29,,,,
500-4954,2000,F29,,,,
500-4955,1000,F29,,,,
500-4955,2000,F29,,,,
500-4956,1000,F30,,,,
500-4956,2000,F30,,,,
500-4957,1000,F30,,,,
500-4957,2000,F30,,,,
500-4961-001,1000,F28,,,,
500-4961-002,1000,F28,,,,
500-4961-003,1000,F28,,,,
500-4961-005,1000,F28,,,,
500-4961-007,1000,F28,,,,
500-4961-010,1000,F28,,,,
500-4961-015,1000,F28,,,,
500-4961-020,1000,F28,,,,
500-4961-030,1000,F28,,,,
500-4962-010,1000,F28,,,,
500-4962-020,1000,F28,,,,
500-4962-0P5,1000,F28,,,,
500-4973,1000,M51,,,,
500-4973,2000,M51,,,,
500-4987,1000,M53,,,,
500-4987,2000,M53,,,,
500-5008,1000,M51,,,,
500-5008,2000,M51,,,,
500-5008-TW,6000,M51,,,,
500-5009,1000,M51,,,,
500-5009,2000,M51,,,,
500-5009-TW,6000,M51,,,,
500-5010,1000,F35,,,,
500-5010,2000,F35,,,,
500-5022,1000,F02,,,,
500-5022,2000,F02,,,,
500-5030,1000,F35,,,,
500-5031,1000,F35,,,,
500-5054,1000,M51,,,,
500-5054,2000,M51,,,,
500-5056,1000,F35,,,,
500-5056,2000,F35,,,,
500-5057,2000,F33,,,,
