Plant,FG,旧的物料编号,FGDescription,FGDescription2,成品尺寸,BOMLevel,BOMVersion,可选文本,基本数量,项目编号,SubstituteGroup,Priority,Usage,partnumber,BOM物料单,组,生产版本,特定工厂物料状态,成本收集器订单号,初始估算成功日期,是否仍需初始估算,是否已成本估算,组件旧物料号,PartDescription,PartDescription2,组件尺寸,projecttype,组件数量,Scrap,UOM,中止指示符,中断日期,后续物料,项目文本行1,项目文本行 2,项目长文本,ParentPart,成本核算标识相关,错误,组件采购组,组件采购类型,组件特殊采购类型,调拨工厂,标准采购信息记录,外协采购信息记录,组,操作/活动,长描述,插件,反冲,供应商,供应商名称,组件库存,未清采购订单数量,图号,生产商(制造商),产地,componenttype,创建日期,计划交货日期,专用/通用
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,22.4,1,,1000.000,0040,,0,0,320-0550,,,,,,,,是,,"Metal Cover,OB BOX Weld version",,,L,1000.000,0.00,PC,,,,,,,260-0141-02,X,,薛凤,F,40,1000,X,,,,,,,,,5608.000,0,,,,,,0,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,22.5,1,,1000.000,0050,,0,0,280-0695,,,,,,,,是,,TX Devide Side C-Lens Holder 2.2*1.8*3,,,L,4000.000,0.00,PC,,,,,,,260-0141-02,X,,王紫慧,F,40,1000,X,,,,,,,,,0,0,,,,,,0,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,22.6,1,,1000.000,0060,,0,0,280-0791,,,,,,,,是,,CLENS NSF11 R1.65*T1.70*D1.4,,,L,4000.000,0.00,PC,,,,,,,260-0141-02,X,,王紫慧,F,40,1000,X,,,,,,,,,2608.000,0,,,,,,0,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,22.7,1,,1000.000,0070,,0,0,310-0414-01,,,,,,,,是,,"Epoxy,Innolight,UV-T53,3ml/支",,,L,17.000,0.00,ML,,,,,,,260-0141-02,X,,王紫慧,F,40,1000,X,,,,,,,,,0,0,,,,,,0,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,22.8,1,,1000.000,0080,,0,0,310-0063,,,,Z1,,,,是,,"Epoxy,Innolight,P-001,454g/套",,,L,3.000,0.00,G,,,,,,,260-0141-02,X,,王紫慧,F,40,1000,,,,,,,,,,0,0,,,,,,0,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,22.9,1,,1000.000,0090,,0,0,310-0109,,,,,,,,是,,"Acrylate,Innolight,UV-003,5g/支",,,L,3.000,0.00,G,,,,,,,260-0141-02,X,,王紫慧,F,,,X,,,,,,,,,50.000,0,,,,P,,98,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,22.10,1,,1000.000,0100,,0,0,313-0001,,,,,,,,是,,"Epoxy,Innolight,T-30,3ml/支",,,L,15.000,0.00,ML,,,,,,,260-0141-02,X,,王紫慧,F,,,X,,,,,,,,,42.000,0,,,,P,,56,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,22.11,1,,1000.000,0110,,0,0,310-0284,,,,,,,,是,,"Acrylate,Innolight,UV-006,3ml/支",,,L,13.000,0.00,ML,,,,,,,260-0141-02,X,,王紫慧,F,,,X,,,,,,,,,81.000,0,,,,P,,98,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,22.12,1,,1000.000,0120,,0,0,287-0003,,,,Z1,,,,是,,Isolator D2.5mm CA 0.7 single 7degree,,,L,1000.000,0.00,PC,,,,,,,260-0141-02,X,,王紫慧,F,40,1000,,,,,,,,,,0,0,,,,,,0,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,22.13,1,,1000.000,0130,,0,0,280-0897,,,,,,,,是,,"Light path lift,73.3deg,2.54*3.15*1.27mm",,,L,50.000,0.00,PC,,,,,,,260-0141-02,X,,王紫慧,F,40,1000,X,,,,,,,,,773.000,0,,,,,,0,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,22.14,1,,1000.000,0140,,0,0,280-0650,,,,,,,,是,,TX receptacle,,,L,20.000,0.00,PC,,,,,,,260-0141-02,X,,李宗洋,F,40,1000,X,,,,,,,,,7050.000,0,,,,,,0,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,22.15,1,,1000.000,0150,,0,0,320-0493,,,,,,,,是,,Receptacle z ring,,,L,20.000,0.00,PC,,,,,,,260-0141-02,X,,薛凤,F,40,1000,X,,,,,,,,,4121.000,0,,,,,,0,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,22.16,1,,1000.000,0180,,0,0,313-0043,,,,,,,,是,,"Epoxy,Innolight,UV-114,3ml/支",,,L,10.000,0.00,ML,,,,,,,260-0141-02,X,,王紫慧,F,,,X,,,,,,,,,177.582,0,,,,P,,49,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,22.17,1,,1000.000,0190,,0,0,280-1459,,,,Z1,,,,是,,"TX Receptacle Side Lens,CWDM4 COP(Wel)",,,L,10.000,0.00,PC,,,,,,,260-0141-02,X,,厂内光自组件,X,,,,,,,,,,,,0,0,,,,自制/外购,,50,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,22.18,1,,1000.000,0200,,0,0,280-1460,,,,Z1,,,,是,,"RX Receptacle Side Lens,CWDM4 COP(Wel)",,,L,10.000,0.00,PC,,,,,,,260-0141-02,X,,厂内光自组件,X,,,,,,,,,,,,0,0,,,,自制/外购,,50,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,22.19,1,,1000.000,0210,A1,0,100,280-1663,,,,Z1,,,,是,,"CB BOM,QSFP28 CWDM4 COP V2.0",,,L,1000.000,0.00,PC,,,,,,,260-0141-02,X,,厂内光自组件,X,,,,,,,,,,,,0,0,,,,自制/外购,,50,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,23,1,,1000.000,0240,A1,0,0,260-0236,00039526,50050183,,,,,,是,,"BOSA,CWDM4 COP V2.0,Amazon(Oclaro DFB)",,,L,1000.000,0.00,PC,,,,,,,500-3953-06-TW,X,,潘咏梅,X,,,,,,,,,,,,0,0,,,,自制/外购,,50,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,23.1,1,,1000.000,0010,A1,0,0,280-1418,,,,,,,,是,,"TX CB,CWDM4 COP V2.0,for Amazon(Oclaro)",,,L,1000.000,0.00,PC,,,,,,,260-0236,X,,潘咏梅,X,,,,,,,,,,,,0,0,,,,自制/外购,,50,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,23.2,1,,1000.000,0010,A1,0,100,280-1800,,,,Z1,,,,是,,"CB BOM,QSFP28 COP V2.0(Weld +Ocl)",,,L,1000.000,0.00,PC,,,,,,,260-0236,X,,李宗洋,X,,,,,,,,,,,,0,0,,,,自制/外购,,50,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,23.3,1,,1000.000,0020,,0,0,280-1133,,,,Z1,,,,是,,"OB Ass-BOM,CWDM4 V2.0(Welding version)",,,L,1000.000,0.00,PC,,,,,,,260-0236,X,,潘咏梅,X,,,,,,,,,,,,0,0,,,,自制/外购,,50,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,23.4,1,,1000.000,0030,,0,0,280-1020,,,,,,,,是,,"Mold Lens&Al Cover Sub-Ass-BOM,CWDM4V2.0",,,L,1000.000,5.00,PC,,,,,,,260-0236,X,,潘咏梅,X,,,,,,,,,,,,0,0,,,,自制/外购,,50,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,23.5,1,,1000.000,0040,,0,0,320-0550,,,,,,,,是,,"Metal Cover,OB BOX Weld version",,,L,1000.000,1.00,PC,,,,,,,260-0236,X,,薛凤,F,40,1000,X,,,,,,,,,5608.000,0,,,,,,0,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,23.6,1,,1000.000,0050,,0,0,280-0695,,,,,,,,是,,TX Devide Side C-Lens Holder 2.2*1.8*3,,,L,4000.000,9.00,PC,,,,,,,260-0236,X,,王紫慧,F,40,1000,X,,,,,,,,,0,0,,,,,,0,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,23.7,1,,1000.000,0060,,0,0,280-0791,,,,,,,,是,,CLENS NSF11 R1.65*T1.70*D1.4,,,L,4000.000,5.00,PC,,,,,,,260-0236,X,,王紫慧,F,40,1000,X,,,,,,,,,2608.000,0,,,,,,0,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,23.8,1,,1000.000,0070,,0,0,310-0414-01,,,,,,,,是,,"Epoxy,Innolight,UV-T53,3ml/支",,,L,17.000,0.00,ML,,,,,,,260-0236,X,,王紫慧,F,40,1000,X,,,,,,,,,0,0,,,,,,0,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,23.9,1,,1000.000,0080,,0,0,310-0063,,,,Z1,,,,是,,"Epoxy,Innolight,P-001,454g/套",,,L,3.000,0.00,G,,,,,,,260-0236,X,,王紫慧,F,40,1000,,,,,,,,,,0,0,,,,,,0,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,23.10,1,,1000.000,0090,,0,0,310-0109,,,,,,,,是,,"Acrylate,Innolight,UV-003,5g/支",,,L,3.000,0.00,G,,,,,,,260-0236,X,,王紫慧,F,,,X,,,,,,,,,50.000,0,,,,P,,98,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,23.11,1,,1000.000,0100,,0,0,313-0001,,,,,,,,是,,"Epoxy,Innolight,T-30,3ml/支",,,L,15.000,0.00,ML,,,,,,,260-0236,X,,王紫慧,F,,,X,,,,,,,,,42.000,0,,,,P,,56,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,23.12,1,,1000.000,0110,,0,0,310-0284,,,,,,,,是,,"Acrylate,Innolight,UV-006,3ml/支",,,L,13.000,0.00,ML,,,,,,,260-0236,X,,王紫慧,F,,,X,,,,,,,,,81.000,0,,,,P,,98,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,23.13,1,,1000.000,0120,,0,0,287-0003,,,,Z1,,,,是,,Isolator D2.5mm CA 0.7 single 7degree,,,L,1000.000,3.00,PC,,,,,,,260-0236,X,,王紫慧,F,40,1000,,,,,,,,,,0,0,,,,,,0,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,23.14,1,,1000.000,0150,,0,0,280-0897,,,,,,,,是,,"Light path lift,73.3deg,2.54*3.15*1.27mm",,,L,150.000,0.00,PC,,,,,,,260-0236,X,,王紫慧,F,40,1000,X,,,,,,,,,773.000,0,,,,,,0,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,23.15,1,,1000.000,0160,,0,0,280-0650,,,,,,,,是,,TX receptacle,,,L,20.000,0.00,PC,,,,,,,260-0236,X,,李宗洋,F,40,1000,X,,,,,,,,,7050.000,0,,,,,,0,
6000,500-3953-06-TW,,40G&100G CWDM4 COP for AZ(Weld+Oclaro),,,23.16,1,,1000.000,0170,,0,0,320-0493,,,,,,,,是,,Receptacle z ring,,,L,20.000,0.00,PC,,,,,,,260-0236,X,,薛凤,F,40,1000,X,,,,,,,,,4121.000,0,,,,,,0,
