Plant,PN,UnconstrainedQuantity
1000,283-0046-27,0
1000,283-0046-29,0
1000,283-0046-29,0
1000,283-0046-31,0
1000,283-0046-31,0
1000,283-0046-33,0
1000,283-0046-33,0
1000,283-0110-27,0
1000,283-0110-29,0
1000,283-0110-31,0
1000,283-0110-33,0
2000,223-0011,16736.000
2000,280-0425,100100.000
2000,320-0611,7000.000
2000,300-0151,6736.000
2000,340-0062,0
2000,300-0311,14856.000
2000,280-0431,103660.000
2000,280-0698,13498.000
2000,288-0005,29100.000
2000,320-0412,33200.000
2000,320-0443,11406.000
2000,320-0493,88600.000
2000,280-0992,420765.000
2000,282-0040,10400.000
2000,320-0438,0
2000,101-0001,19971.000
2000,101-0001,63923.000
2000,140-0403,1264.000
2000,140-0403,1120.000
2000,140-0547,2891.000
2000,140-0547,32979.000
2000,140-0851,873.000
2000,223-0011,1131.000
2000,223-0012,7600.000
2000,223-0012,21000.000
2000,280-0213,1682.000
2000,280-0425,11908.000
2000,280-0431,39298.884
2000,280-0431,22148.000
2000,280-0431,22600.000
2000,280-0511-03,158.000
2000,280-0511-03,86.000
2000,280-0511-03,6304.000
2000,280-0511-04,76.000
2000,280-0511-04,116.000
2000,280-0511-04,666.000
2000,280-0511-04,1160.000
2000,280-0511-05,1871.000
2000,280-0511-05,1700.000
2000,280-0511-06,2838.000
2000,280-0511-06,27200.000
2000,280-0607,191540.000
2000,280-0607,139943.000
2000,280-0650,37868.156
2000,280-0650,4876.000
2000,280-0650,8359.000
2000,280-0650,14900.000
2000,280-0650,37100.000
2000,280-0695,43916.000
2000,280-0695,164920.000
2000,280-0696,2187.000
2000,280-0696,19853.000
2000,280-0698,24733.618
2000,280-0698,2755.000
2000,280-0791,46507.000
2000,280-0791,191429.000
2000,280-0810,2307.000
2000,280-0810,40547.000
2000,280-0837,1818.000
2000,280-0837,1014.000
2000,280-0848,12153.121
2000,280-0848,9420.000
2000,280-0848,30000.000
2000,280-0897,11967.000
2000,280-0897,26000.000
2000,280-0898,11674.000
2000,280-0898,38392.000
2000,280-0932,31228.000
2000,280-0932,72260.000
2000,280-0933,4482.000
2000,280-0933,166915.000
2000,280-0981-N0,681.000
2000,280-0981-N1,463.000
2000,280-0981-N2,482.000
2000,280-0981-N3,808.000
2000,280-0992,6937.000
2000,280-1011,41518.000
2000,280-1011,194906.000
2000,281-0009,11637.000
2000,281-0009,5500.000
2000,281-0070,4879.000
2000,281-0070,9046.000
2000,282-0040,3777.000
2000,282-0040,7467.947
2000,282-0040,10400.000
2000,282-0041,159.000
2000,282-0041,26287.947
2000,282-0041,3708.000
2000,282-0041,6000.000
2000,282-0041,20000.000
2000,282-0330,5931.000
2000,282-0330,3000.000
2000,282-0333,7059.000
2000,282-0432,5621.000
2000,282-0432,8200.000
2000,282-0433,5372.000
2000,282-0433,23057.000
2000,282-0434,1775.000
2000,282-0434,11800.000
2000,283-0046-27,2758.000
2000,283-0046-29,1536.000
2000,283-0046-31,9311.000
2000,283-0046-33,4806.000
2000,283-0098,4053.000
2000,283-0098,4271.000
2000,283-0110-27,2010.000
2000,283-0110-29,3873.000
2000,283-0110-31,2654.000
2000,283-0110-33,1356.000
2000,283-0226,10697.000
2000,284-0118,3455.000
2000,284-0118,8991.000
2000,285-0012,65542.000
2000,285-0012,131969.000
2000,285-0109,8767.000
2000,285-0109,2170.000
2000,287-0003,10961.000
2000,287-0003,26000.000
2000,288-0001,19213.078
2000,288-0001,4917.000
2000,288-0001,10300.000
2000,288-0001,35600.000
2000,288-0005,19357.577
2000,288-0005,4949.000
2000,288-0005,11300.000
2000,288-0134,1581.000
2000,288-0134,12444.000
2000,300-0150,4.000
2000,300-0150,8017.000
2000,300-0151,1081.000
2000,300-0152,14316.000
2000,300-0311,5.000
2000,300-0312,406.000
2000,300-0312,1503.000
2000,300-0313,10.000
2000,300-0313,14016.000
2000,301-0022,21420.121
2000,301-0022,24000.000
2000,301-0046-CD,5724.000
2000,302-0004,77574.000
2000,302-0004,333000.000
2000,302-0007,59161.000
2000,302-0007,130000.000
2000,310-0401,43673.000
2000,310-0401,7250.000
2000,310-0401,272495.000
2000,310-0407,3997.000
2000,310-0417,2640.000
2000,310-0417,5.000
2000,310-0504,13347.000
2000,310-0560,1000.000
2000,310-0573,2951.000
2000,310-0574,2615.000
2000,310-0590,274.000
2000,310-0591,3053.000
2000,310-0724,4.000
2000,311-0244,13301.000
2000,311-0244,36500.000
2000,311-0252,6661.000
2000,311-0252,13000.000
2000,311-0260,3165.000
2000,311-0260,3000.000
2000,311-0276,28000.000
2000,311-0276,25000.000
