PN,Plant,Process,Scrap
500-3672-010,1000,Module,2.00
500-3672-030,1000,Module,2.00
500-3672-030,2000,Module,0.00
500-3672-050,1000,Module,2.00
500-3672-050,2000,Module,0.00
500-3730-001,1000,Module,2.00
500-3730-001,2000,Module,0.00
500-3730-002,1000,Module,2.00
500-3730-002,2000,Module,0.00
500-3730-003,1000,Module,2.00
500-3730-003,2000,Module,0.00
500-3730-005,1000,Module,2.00
500-3730-005,2000,Module,0.00
500-3730-006,1000,Module,2.00
500-3730-006,2000,Module,0.00
500-3730-007,1000,Module,2.00
500-3730-007,2000,Module,0.00
500-3730-010,1000,Module,2.00
500-3730-010,2000,Module,0.00
500-3730-015,1000,Module,2.00
500-3730-015,2000,Module,0.00
500-3730-020,1000,Module,2.00
500-3730-020,2000,Module,0.00
500-3730-030,1000,Module,2.00
500-3730-030,2000,Module,0.00
500-3730-100,1000,Module,2.00
500-3730-100,2000,Module,0.00
500-3830-003,1000,Module,2.00
500-3830-003,2000,Module,0.00
500-3830-010,1000,Module,2.00
500-3830-010,2000,Module,0.00
500-4117-003,1000,Module,3.00
500-4117-003,2000,Module,0.00
500-4117-010,1000,Module,3.00
500-4117-010,2000,Module,0.00
500-4117-030,1000,Module,3.00
500-4117-030,2000,Module,0.00
500-4235-003,1000,Module,3.00
500-4235-005,1000,Module,3.00
500-4235-007,1000,Module,3.00
500-4235-010,1000,Module,3.00
500-4235-010,2000,Module,0.00
500-4235-020,1000,Module,3.00
500-4236-003,1000,Module,3.00
500-4236-005,1000,Module,3.00
500-4236-007,1000,Module,3.00
500-4236-007,2000,Module,0.00
500-4236-020,1000,Module,3.00
500-4236-020,2000,Module,0.00
500-4443-005,1000,Module,7.00
500-4443-010,1000,Module,7.00
500-4443-015,1000,Module,7.00
500-4443-020,1000,Module,7.00
500-4513-001,1000,Module,2.00
500-4513-003,1000,Module,2.00
500-4513-005,1000,Module,2.00
500-4513-007,1000,Module,2.00
500-4513-010,1000,Module,2.00
500-4513-015,1000,Module,2.00
500-4513-020,1000,Module,2.00
500-4513-030,1000,Module,2.00
500-4618-001,1000,Module,2.00
500-4618-003,1000,Module,2.00
500-4618-005,1000,Module,2.00
500-4618-007,1000,Module,2.00
500-4618-010,1000,Module,2.00
500-4618-015,1000,Module,2.00
500-4618-020,1000,Module,2.00
500-4618-025,1000,Module,2.00
500-4618-030,1000,Module,2.00
500-4840-001,1000,Module,2.00
500-4840-002,1000,Module,2.00
500-4840-003,1000,Module,2.00
500-4840-005,1000,Module,2.00
500-4840-007,1000,Module,2.00
500-4840-010,1000,Module,2.00
500-4840-015,1000,Module,2.00
500-4840-020,1000,Module,2.00
500-4840-025,1000,Module,2.00
500-4840-030,1000,Module,2.00
500-4961-001,1000,Module,2.50
500-4961-002,1000,Module,2.50
500-4961-003,1000,Module,2.50
500-4961-005,1000,Module,2.50
500-4961-007,1000,Module,2.50
500-4961-010,1000,Module,2.50
500-4961-015,1000,Module,2.50
500-4961-020,1000,Module,2.50
500-4961-030,1000,Module,2.50
500-4962-010,1000,Module,2.50
500-4962-020,1000,Module,2.50
500-4962-0P5,1000,Module,2.50
500-5050-005,1000,Module,2.00
500-5050-007,1000,Module,2.00
500-5050-010,1000,Module,2.00
500-5050-020,1000,Module,2.00
500-5067-001,1000,Module,2.00
500-5067-002,1000,Module,2.00
500-5067-003,1000,Module,2.00
500-5067-007,1000,Module,2.00
500-5067-010,1000,Module,2.00
500-5067-015,1000,Module,2.00
500-5067-020,1000,Module,2.00
500-5067-025,1000,Module,2.00
500-5067-030,1000,Module,2.00
500-5202-005,1000,Module,2.00
500-5202-007,1000,Module,2.00
500-5202-010,1000,Module,2.00
500-5202-020,1000,Module,2.00
500-5215-010,1000,Module,2.50
500-5216-003,1000,Module,2.50
500-5216-005,1000,Module,2.50
500-5216-007,1000,Module,2.50
500-5216-010,1000,Module,2.50
500-5216-030,1000,Module,2.50
500-5391-001,1000,Module,2.50
500-5391-002,1000,Module,2.50
500-5391-003,1000,Module,2.50
500-5391-005,1000,Module,2.50
500-5391-007,1000,Module,2.50
500-5391-010,1000,Module,2.50
500-5391-015,1000,Module,2.50
500-5391-020,1000,Module,2.50
500-5391-025,1000,Module,2.50
500-5391-030,1000,Module,2.50
500-5495-001,1000,Module,2.50
500-5495-002,1000,Module,2.50
500-5495-003,1000,Module,2.50
500-5495-005,1000,Module,2.50
500-5495-007,1000,Module,2.50
500-5495-010,1000,Module,2.50
500-5495-015,1000,Module,2.50
500-5495-020,1000,Module,2.50
500-5495-025,1000,Module,2.50
500-5495-030,1000,Module,2.50
500-5508-005,1000,Module,2.50
500-5508-010,1000,Module,2.50
500-5614-001,1000,Module,2.50
500-5614-002,1000,Module,2.50
500-5614-003,1000,Module,2.50
500-5614-005,1000,Module,2.50
500-5614-007,1000,Module,2.50
500-5614-010,1000,Module,2.50
500-5614-015,1000,Module,2.50
500-5614-020,1000,Module,2.50
500-5614-025,1000,Module,2.50
500-5614-030,1000,Module,2.50
500-5615-001,1000,Module,2.50
500-5615-002,1000,Module,2.50
500-5615-003,1000,Module,2.50
500-5615-005,1000,Module,2.50
500-5615-007,1000,Module,2.50
500-5615-010,1000,Module,2.50
500-5615-015,1000,Module,2.50
500-5615-020,1000,Module,2.50
500-5615-025,1000,Module,2.50
500-5615-030,1000,Module,2.50
500-5633-003,1000,Module,2.50
500-5633-005,1000,Module,2.50
500-5633-007,1000,Module,2.50
500-5633-010,1000,Module,2.50
500-5633-020,1000,Module,2.50
500-5633-030,1000,Module,2.50
500-6159-001,1000,Module,2.50
500-6159-002,1000,Module,2.50
500-6159-003,1000,Module,2.50
500-6159-005,1000,Module,2.50
500-6159-007,1000,Module,2.50
500-6159-010,1000,Module,2.50
500-6159-015,1000,Module,2.50
500-6159-020,1000,Module,2.50
500-6159-025,1000,Module,2.50
500-6159-030,1000,Module,2.50
500-6249-003,1000,Module,0.00
500-6249-005,1000,Module,0.00
500-6249-007,1000,Module,0.00
500-6249-010,1000,Module,0.00
500-6249-020,1000,Module,0.00
500-6250-003,1000,Module,0.00
500-6250-005,1000,Module,0.00
500-6250-007,1000,Module,0.00
500-6250-010,1000,Module,0.00
500-6250-020,1000,Module,0.00
500-6282-003,1000,Module,0.00
500-6282-005,1000,Module,0.00
500-6282-007,1000,Module,0.00
500-6282-010,1000,Module,0.00
500-6282-015,1000,Module,0.00
500-6282-020,1000,Module,0.00
500-6283-003,1000,Module,0.00
500-6283-005,1000,Module,0.00
500-6283-007,1000,Module,0.00
500-6283-010,1000,Module,0.00
500-6283-015,1000,Module,0.00
500-6283-020,1000,Module,0.00
500-6357-001,1000,Module,2.50
500-6357-002,1000,Module,2.50
500-6357-003,1000,Module,2.50
500-6357-005,1000,Module,2.50
500-6357-007,1000,Module,2.50
500-6357-010,1000,Module,2.50
500-6357-015,1000,Module,2.50
500-6357-020,1000,Module,2.50
500-6357-030,1000,Module,2.50
500-6382-001,1000,Module,2.50
500-6382-003,1000,Module,2.50
500-6382-005,1000,Module,2.50
500-6382-007,1000,Module,2.50
500-6382-010,1000,Module,2.50
500-6382-015,1000,Module,2.50
500-6382-020,1000,Module,2.50
500-6382-030,1000,Module,2.50
500-6383-001,1000,Module,2.50
500-6383-003,1000,Module,2.50
500-6383-005,1000,Module,2.50
500-6383-007,1000,Module,2.50
500-6383-010,1000,Module,2.50
500-6383-015,1000,Module,2.50
500-6383-020,1000,Module,2.50
500-6383-030,1000,Module,2.50
500-6394-001,1000,Module,2.50
500-6394-002,1000,Module,2.50
500-6394-003,1000,Module,2.50
500-6394-005,1000,Module,2.50
500-6394-007,1000,Module,2.50
500-6394-010,1000,Module,2.50
500-6394-015,1000,Module,2.50
500-6394-020,1000,Module,2.50
500-6394-030,1000,Module,2.50
500-7179-001,1000,Module,2.50
500-7179-002,1000,Module,2.50
500-7179-003,1000,Module,2.50
500-7179-005,1000,Module,2.50
500-7179-007,1000,Module,2.50
500-7179-010,1000,Module,2.50
500-7179-015,1000,Module,2.50
500-7179-020,1000,Module,2.50
500-7179-025,1000,Module,2.50
500-7179-030,1000,Module,2.50
500-7180-001,1000,Module,2.50
500-7180-002,1000,Module,2.50
500-7180-003,1000,Module,2.50
500-7180-005,1000,Module,2.50
500-7180-007,1000,Module,2.50
500-7180-010,1000,Module,2.50
500-7180-015,1000,Module,2.50
500-7180-020,1000,Module,2.50
500-7180-030,1000,Module,2.50
500-7206-003,1000,Module,15.00
500-7206-005,1000,Module,15.00
500-7206-007,1000,Module,15.00
500-7206-010,1000,Module,15.00
500-7206-015,1000,Module,15.00
500-7206-020,1000,Module,15.00
500-7207-001,1000,Module,15.00
500-7207-002,1000,Module,15.00
500-7207-003,1000,Module,15.00
500-7207-005,1000,Module,15.00
500-7207-007,1000,Module,15.00
500-7207-010,1000,Module,15.00
500-7207-015,1000,Module,15.00
500-7207-020,1000,Module,15.00
500-7207-025,1000,Module,15.00
500-7207-030,1000,Module,15.00
500-7283-010,1000,Module,2.50
500-7284-010,1000,Module,2.50
502-1600-XXX,1000,,0.00
502-1600-XXX,2000,,0.00
502-1612-XXX,1000,,0.00
502-1612-XXX,2000,,0.00
502-1915-XXX,1000,,0.00
502-1915-XXX,2000,,0.00
502-1941-XXX,1000,,0.00
502-1941-XXX,2000,,0.00
502-2073-XXX,1000,,0.00
502-2339,1000,,0.00
502-2394,1000,,0.00
502-2395,1000,,0.00
502-2461,1000,,0.00
502-2515,1000,,0.00
502-2516,1000,,0.00
502-2588,1000,,0.00
502-2606,1000,,0.00
502-2638,1000,,0.00
502-2648,1000,,0.00
502-2894,1000,,0.00
502-2895,1000,,0.00
502-2935,1000,,0.00
502-2936,1000,,0.00
502-2937,1000,,0.00
502-3496,1000,,0.00
502-3502,1000,,0.00
502-3519,1000,,0.00
502-3520,1000,,0.00
503-0032-001-IW,1000,Module,2.50
503-0032-002-IW,1000,Module,2.50
503-0032-003-IW,1000,Module,2.50
503-0032-005-IW,1000,Module,2.50
503-0032-007-IW,1000,Module,2.50
503-0032-010-IW,1000,Module,2.50
503-0032-015-IW,1000,Module,2.50
503-0032-020-IW,1000,Module,2.50
503-0032-025-IW,1000,Module,2.50
503-0032-030-IW,1000,Module,2.50
503-0033-003-IW,1000,Module,2.50
503-0033-010-IW,1000,Module,2.50
503-0033-020-IW,1000,Module,2.50
503-0033-030-IW,1000,Module,2.50
504-1354,1000,,0.00
504-1354,2000,,0.00
504-1389,1000,OE,1.40
504-1389,2000,OE,0.00
504-1397,1000,OE,1.40
504-1397,2000,OE,1.40
504-1431,1000,,0.00
504-1431,2000,,0.00
504-1550,1000,,0.00
504-1550,2000,,0.00
504-1568,1000,OE,1.40
504-1568,2000,OE,0.00
504-1569,1000,OE,1.40
504-1569,2000,OE,1.40
504-1584,1000,OE,1.80
504-1584,2000,OE,2.00
504-1585,1000,OE,1.80
504-1585,2000,OE,2.00
504-1595,1000,OE,1.40
504-1595,2000,OE,0.00
504-1616,1000,,0.00
504-1616,2000,,0.00
504-1694,1000,,0.00
504-1694,2000,,0.00
504-1704,1000,OE,1.80
504-1704,2000,OE,2.00
504-1711,1000,,0.00
504-1712,1000,,0.00
504-1712,2000,,0.00
504-1715,1000,OE,1.40
504-1718,1000,,0.00
504-1718,2000,,0.00
504-1746,1000,,0.00
504-1746,2000,,0.00
504-1818,1000,,0.00
504-1818,2000,,0.00
504-1835,1000,OE,1.40
504-1835,2000,OE,1.40
504-1878,1000,,0.00
504-1878,2000,,0.00
504-1892,1000,OE,1.40
504-1892,2000,OE,1.40
504-1975,1000,OE,1.40
504-1975,2000,OE,1.40
504-1976,1000,OE,1.40
504-1976,2000,OE,1.40
504-1989,1000,OE,1.40
504-1989,2000,OE,1.40
504-2000,1000,OE,1.40
504-2129-CD,1000,,0.00
504-2129-CD,2000,,0.00
504-2217-CD,1000,,0.00
504-2217-CD,2000,,0.00
561-0135-002,1000,Module,0.00
561-0135-015,1000,Module,0.00
561-0135-025,1000,Module,0.00
262-0005,1000,OE,1.40
262-0007,1000,OE,1.40
262-0009,1000,OE,2.50
262-0009,2000,OE,2.43
262-0010,1000,OE,2.50
262-0010,2000,OE,2.50
262-0011,1000,OE,2.50
262-0011,2000,OE,2.50
262-0012,1000,OE,2.50
262-0012,2000,OE,2.50
262-0015,1000,OE,2.50
262-0015,2000,OE,2.50
262-0016,1000,OE,2.50
262-0016,2000,OE,2.50
262-0018,1000,OE,2.50
262-0018,2000,OE,1.50
262-0027,1000,OE,2.50
262-0028,1000,OE,2.50
262-0028,2000,OE,2.00
262-0031,1000,OE,2.50
262-0044,1000,OE,2.50
262-0045,1000,OE,2.50
262-0054-CD,1000,OE,0.00
262-0054-CD,2000,OE,0.00
262-0058-CD,1000,OE,0.00
262-0058-CD,2000,OE,2.00
262-0077-CD,1000,OE,0.00
262-0100-CD,1000,OE,2.50
262-0100-CD,2000,OE,2.50
262-0101-CD,1000,OE,2.50
262-0101-CD,2000,OE,1.40
262-0127-CD,1000,OE,2.50
262-0127-CD,2000,OE,2.50
262-0128-CD,1000,OE,2.50
262-0128-CD,2000,OE,2.50
262-0137-CD,1000,OE,2.00
262-0137-CD,2000,OE,2.00
262-0150-CD,1000,OE,2.00
262-0150-CD,2000,OE,2.00
262-0163-CD,1000,OE,2.50
262-0163-CD,2000,OE,2.50
262-0164-CD,1000,OE,2.50
262-0164-CD,2000,OE,2.50
262-0169-CD,1000,OE,2.00
262-0169-CD,2000,OE,2.00
262-0197-CD,1000,OE,1.50
262-0197-CD,2000,OE,1.40
262-0198-CD,1000,OE,1.50
262-0198-CD,2000,OE,1.40
280-0025-02,1000,OE,0.00
280-0025-02,2000,OE,0.00
280-0025-45,1000,OE,0.00
280-0025-45,2000,OE,0.00
280-0654-CN,1000,LENS,0.00
280-0654-CN,2000,LENS,0.00
280-1238,1000,OE,0.20
280-1238,2000,OE,0.20
280-1241-20,1000,LENS,0.20
280-1241-20,2000,LENS,0.20
280-1241-35,1000,LENS,0.20
280-1241-35,2000,LENS,0.20
280-1241-40,1000,LENS,0.20
280-1241-40,2000,LENS,0.20
280-1242-35,1000,LENS,0.20
280-1242-35,2000,LENS,0.20
280-1242-40,1000,LENS,0.20
280-1242-40,2000,LENS,0.20
280-1390,1000,LENS,0.20
280-1428,1000,LENS,0.20
280-1428,2000,LENS,2.00
280-1455-20,1000,LENS,0.20
280-1455-20,2000,LENS,0.20
280-1455-40,1000,LENS,0.20
280-1455-40,2000,LENS,0.20
280-1475,1000,LENS,0.20
280-1475,2000,LENS,2.00
280-1587-20,1000,LENS,0.20
280-1587-20,2000,LENS,0.20
280-1916-CD,1000,LENS,0.10
280-1916-CD,2000,LENS,0.10
280-1973-CD,1000,LENS,0.10
280-1973-CD,2000,LENS,0.10
284-0085-20,1000,LENS,0.00
284-0085-20,2000,LENS,0.00
284-0085-40,1000,LENS,0.00
284-0085-40,2000,LENS,0.00
286-0010,1000,LENS,0.00
286-0010,2000,LENS,0.00
286-0018-20,1000,LENS,0.00
286-0018-20,2000,LENS,0.00
286-0018-35,1000,LENS,0.00
286-0018-35,2000,LENS,0.00
286-0057-20,1000,LENS,0.00
286-0057-20,2000,LENS,0.00
286-0057-40,1000,LENS,0.00
286-0057-40,2000,LENS,0.00
500-3165,1000,Module,15.00
500-3165,2000,Module,0.00
500-3166,1000,Module,5.00
500-3166,2000,Module,0.00
500-3186,1000,Module,5.00
500-3186,2000,Module,5.00
500-3190,1000,Module,5.00
500-3190,2000,Module,5.00
500-3209,1000,Module,5.00
500-3209,2000,Module,5.00
500-3231,1000,Module,5.00
500-3231,2000,Module,0.00
500-3245,1000,Module,5.00
500-3245,2000,Module,5.00
500-3261,1000,Module,5.00
500-3261,2000,Module,0.00
500-3287,1000,Module,5.00
500-3287,2000,Module,0.00
500-3292,1000,Module,5.00
500-3292,2000,Module,0.00
500-3335,1000,Module,5.00
500-3335,2000,Module,5.00
500-3344,1000,Module,5.00
500-3344,2000,Module,5.00
500-3347,1000,Module,5.00
500-3347,2000,Module,0.00
500-3385,1000,Module,5.00
500-3385,2000,Module,0.00
500-3387,1000,Module,5.00
500-3387,2000,Module,0.00
500-3411,1000,Module,5.00
500-3411,2000,Module,0.00
500-3425,1000,Module,5.00
500-3425,2000,Module,5.00
500-3451,1000,Module,5.00
500-3451,2000,Module,0.00
500-3480,1000,Module,5.00
500-3480,2000,Module,5.00
500-3481,1000,Module,5.00
500-3481,2000,Module,5.00
500-3508,1000,Module,5.00
500-3508,2000,Module,0.00
500-3519,1000,Module,5.00
500-3519,2000,Module,0.00
500-3659,1000,Module,5.00
500-3659,2000,Module,0.00
500-3664,1000,Module,5.00
500-3664,2000,Module,0.00
500-3665,1000,Module,5.00
500-3665,2000,Module,5.00
500-3749,1000,Module,5.66
500-3749,2000,Module,0.00
500-3782,1000,Module,5.00
500-3782,2000,Module,0.00
500-3783,1000,Module,5.00
500-3783,2000,Module,0.00
500-3784,1000,Module,5.00
500-3784,2000,Module,0.00
500-3786,1000,Module,5.00
500-3786,2000,Module,0.00
500-3803,1000,Module,5.00
500-3803,2000,Module,0.00
500-3884,1000,Module,5.00
500-3884,2000,Module,5.00
500-3888,1000,Module,5.00
500-3888,2000,Module,5.00
500-4005,1000,Module,5.00
500-4005,2000,Module,5.00
500-4054,1000,Module,6.00
500-4054,2000,Module,6.00
500-4081,1000,Module,6.00
500-4081,2000,Module,5.00
500-4090,1000,Module,15.00
500-4090,2000,Module,0.00
500-4115,1000,Module,5.00
500-4115,2000,Module,0.00
500-4125,1000,Module,5.00
500-4125,2000,Module,5.00
500-4188,1000,Module,5.00
500-4188,2000,Module,5.00
500-4191,1000,Module,5.00
500-4191,2000,Module,0.00
500-4349,1000,Module,5.00
500-4349,2000,Module,5.00
500-4442,1000,Module,6.00
500-4619,1000,Module,5.00
500-4619,2000,Module,6.50
500-4701,1000,Module,6.00
500-4701,2000,Module,5.00
500-4725,1000,Module,5.00
500-4807,1000,Module,5.00
500-4850,1000,Module,5.00
500-4853,1000,Module,5.00
500-4924,1000,Module,5.00
500-4925,1000,Module,5.00
500-4925,2000,Module,5.00
500-4954,1000,Module,5.00
500-4954,2000,Module,5.00
500-4955,1000,Module,5.00
500-4955,2000,Module,5.00
500-5022,1000,Module,5.00
500-5022,2000,Module,5.00
500-5099,1000,Module,5.00
500-5099,2000,Module,5.00
500-5211,1000,Module,5.00
500-5212,1000,Module,5.00
500-5212,2000,Module,5.00
500-5225,1000,Module,5.00
500-5225,2000,Module,5.00
500-5247,1000,Module,5.00
500-5274,1000,Module,0.00
500-5274,2000,Module,3.50
500-5275,1000,Module,0.00
500-5275,2000,Module,3.50
500-5329,1000,Module,0.00
500-5359,1000,Module,5.00
500-5359,2000,Module,5.00
500-5384,1000,Module,5.00
500-5384,2000,Module,5.00
500-5392,1000,Module,5.00
500-5392,2000,Module,5.00
500-5481,1000,Module,5.00
500-5481,2000,Module,5.00
500-5522,1000,Module,5.00
500-5522,2000,Module,5.00
500-5586,1000,Module,5.00
500-5586,2000,Module,5.00
500-5594,1000,Module,5.00
500-5594,2000,Module,5.00
500-5601,1000,Module,5.00
500-5601,2000,Module,5.00
500-5634,1000,Module,5.00
500-5702,1000,Module,5.00
500-5702,2000,Module,5.00
500-5703,1000,Module,5.00
500-5703,2000,Module,5.00
500-5782,1000,Module,5.00
500-5818,1000,Module,5.00
500-5818,2000,Module,6.00
500-5850,1000,Module,5.00
500-5850,2000,Module,5.00
500-5851,1000,Module,5.00
500-5851,2000,Module,5.00
500-5934,1000,Module,5.00
500-5935,1000,Module,5.00
500-5957,1000,Module,5.00
500-5958,1000,Module,5.00
500-5958,2000,Module,5.00
500-5987,1000,Module,5.00
500-5987,2000,Module,6.00
500-5988,1000,Module,5.00
500-5988,2000,Module,5.00
500-5989,1000,Module,5.00
500-5989,2000,Module,5.00
500-5990,1000,Module,5.00
500-5990,2000,Module,5.00
500-6059,1000,Module,0.00
500-6059,2000,Module,0.00
500-6095,1000,Module,0.00
500-6099,1000,Module,0.00
500-6099,2000,Module,5.00
500-6191,1000,Module,5.00
500-6201,1000,Module,4.00
500-6201,2000,Module,4.00
500-6207,1000,Module,6.00
500-6207,2000,Module,6.00
500-6253,1000,Module,0.00
500-6336,1000,Module,6.00
500-6336,2000,Module,6.00
500-6393,1000,Module,0.00
500-6393,2000,Module,3.50
500-6465,1000,Module,5.00
500-6496,1000,Module,5.00
500-6496,2000,Module,5.00
500-6512,1000,Module,5.00
500-6512,2000,Module,5.00
500-6575,1000,Module,0.00
500-6650,1000,Module,5.00
500-6650,2000,Module,5.00
500-6671,1000,Module,5.00
500-6671,2000,Module,5.00
500-6672,1000,Module,5.00
500-6672,2000,Module,5.00
500-6681,1000,Module,5.00
500-6681,2000,Module,5.00
500-6726,1000,Module,5.00
500-6726,2000,Module,5.00
500-6727,1000,Module,6.00
500-6727,2000,Module,5.00
500-7114,1000,Module,5.00
500-7114,2000,Module,5.00
500-7115,1000,Module,5.00
500-7115,2000,Module,5.00
502-1476,1000,,0.00
502-1476,2000,,0.00
502-1478,1000,,0.00
502-1478,2000,,0.00
502-1542,1000,,0.00
502-1542,2000,,0.00
502-1547,1000,,0.00
502-1547,2000,,0.00
502-1565,1000,,0.00
502-1565,2000,,0.00
502-1606,1000,,0.00
502-1606,2000,,0.00
502-1621,1000,,0.00
502-1621,2000,,0.00
502-1642,1000,,0.00
502-1642,2000,,0.00
502-1696,1000,,0.00
502-1696,2000,,0.00
502-1795,1000,,0.00
502-1795,2000,,0.00
502-1796,1000,,0.00
502-1796,2000,,0.00
502-1797,1000,,0.00
502-1797,2000,,0.00
502-1832,1000,,0.00
502-1832,2000,,0.00
502-1899,1000,,0.00
502-1899,2000,,0.00
502-2028,1000,,0.00
502-2028,2000,,0.00
502-2181,1000,,0.00
502-2181,2000,,0.00
502-2183,1000,,0.00
502-2202,1000,,0.00
502-2202,2000,,0.00
502-2246,1000,,0.00
502-2276,1000,,0.00
502-2307,1000,,0.00
502-2308,1000,,0.00
502-2308,2000,,0.00
502-2338,1000,,0.00
502-2338,2000,,0.00
502-2367,1000,,0.00
502-2367,2000,,0.00
502-2391,1000,,0.00
502-2391,2000,,0.00
502-2445,1000,,0.00
502-2445,2000,,0.00
502-2446,1000,,0.00
502-2446,2000,,0.00
502-2447,1000,,0.00
502-2447,2000,,0.00
502-2488,1000,,0.00
502-2488,2000,,0.00
502-2502,1000,,0.00
502-2502,2000,,0.00
502-2523,1000,,0.00
502-2523,2000,,0.00
502-2547,1000,,0.00
502-2547,2000,,0.00
502-2590,1000,,0.00
502-2590,2000,,0.00
502-2647,1000,,0.00
502-2692,1000,,0.00
502-2692,2000,,0.00
502-2708,1000,,0.00
502-2729,1000,,0.00
502-2729,2000,,0.00
502-2730,1000,,0.00
502-2730,2000,,0.00
502-2783,1000,,0.00
502-2784,1000,,0.00
502-2795,1000,,0.00
502-2810,1000,,0.00
502-2810,2000,,0.00
502-2842,1000,,0.00
502-2842,2000,,0.00
502-2856,1000,,0.00
502-2856,2000,,0.00
502-2938,1000,,0.00
502-3058,1000,,0.00
502-3058,2000,,0.00
502-3059,1000,,0.00
502-3059,2000,,0.00
502-3060,1000,,0.00
502-3060,2000,,0.00
502-3061,1000,,0.00
502-3061,2000,,0.00
502-3062,1000,,0.00
502-3062,2000,,0.00
502-3063,1000,,0.00
502-3063,2000,,0.00
502-3093,1000,,0.00
502-3093,2000,,0.00
502-3184,1000,,0.00
502-3184,2000,,0.00
502-3186,1000,,0.00
502-3186,2000,,0.00
502-3233,1000,,0.00
502-3233,2000,,0.00
502-3450,1000,,0.00
502-3450,2000,,0.00
502-3580,1000,,0.00
502-3581,1000,,0.00
503-0035-IW,1000,Module,0.00
503-0036-IW,1000,Module,0.00
503-0037-IW,1000,Module,0.00
503-0038-IW,1000,Module,0.00
504-1174,1000,,0.00
504-1174,2000,,0.00
504-1266,1000,,0.00
504-1266,2000,,0.00
504-1285,1000,OE,2.00
504-1285,2000,OE,0.00
504-1291,1000,OE,2.00
504-1291,2000,OE,0.00
504-1338,1000,OE,2.00
504-1338,2000,OE,0.00
504-1354,1000,,0.00
504-1354,2000,,0.00
504-1357,1000,OE,2.00
504-1357,2000,OE,2.00
504-1360,1000,OE,2.50
504-1360,2000,OE,2.50
504-1371,1000,OE,2.50
504-1371,2000,OE,0.00
504-1392,1000,OE,2.00
504-1392,2000,OE,1.40
504-1403,1000,OE,2.00
504-1403,2000,OE,1.40
504-1431,1000,,0.00
504-1431,2000,,0.00
504-1485,1000,OE,2.00
504-1485,2000,OE,0.00
504-1486,1000,OE,2.00
504-1486,2000,OE,0.00
504-1487,1000,OE,2.00
504-1487,2000,OE,0.00
504-1521,1000,OE,2.00
504-1521,2000,OE,2.00
504-1560,1000,OE,2.00
504-1560,2000,OE,2.00
504-1570,1000,OE,2.00
504-1570,2000,OE,1.40
504-1571,1000,OE,2.00
504-1571,2000,OE,0.00
504-1579,1000,OE,3.00
504-1579,2000,OE,2.00
504-1694,1000,,0.00
504-1694,2000,,0.00
504-1711,1000,,0.00
504-1718,1000,,0.00
504-1718,2000,,0.00
504-1727,1000,OE,2.00
504-1746,1000,,0.00
504-1746,2000,,0.00
504-1749,1000,OE,2.00
504-1749,2000,OE,2.00
504-1774,1000,OE,2.00
504-1794,1000,OE,2.00
504-1820,1000,OE,2.00
504-1820,2000,OE,2.00
504-1821,1000,OE,2.00
504-1821,2000,OE,1.40
504-1878,1000,,0.00
504-1878,2000,,0.00
504-1880,1000,OE,2.00
504-1880,2000,OE,1.40
504-1881,1000,OE,2.00
504-1881,2000,OE,1.40
504-1882,1000,OE,2.00
504-1882,2000,OE,1.40
504-1936,1000,OE,2.00
504-1936,2000,OE,2.00
504-1972,1000,OE,2.00
504-1972,2000,OE,1.40
504-1973,1000,OE,2.00
504-1973,2000,OE,1.40
504-1974,1000,OE,2.00
504-2042,1000,,0.00
504-2053,1000,,0.00
504-2063,1000,,0.00
