model,process,start,end,capacity,uom,plant
100G QSFP28 SR4 Gen2,LENS,8/19/2024,8/25/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,LENS,8/26/2024,9/1/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,LENS,9/2/2024,9/8/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,LENS,9/9/2024,9/15/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,LENS,9/16/2024,9/22/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,LENS,9/23/2024,9/29/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,LENS,9/30/2024,10/6/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,LENS,10/7/2024,10/13/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,LENS,10/14/2024,10/20/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,LENS,10/21/2024,10/27/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,LENS,10/28/2024,11/3/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,LENS,11/4/2024,11/10/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,LENS,11/11/2024,11/17/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,LENS,11/18/2024,11/24/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,LENS,11/25/2024,12/1/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,LENS,12/2/2024,12/8/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,LENS,12/9/2024,12/15/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,LENS,12/16/2024,12/22/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,LENS,12/23/2024,12/29/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,LENS,12/30/2024,12/31/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,1/1/2024,1/7/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,1/8/2024,1/14/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,1/15/2024,1/21/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,1/22/2024,1/28/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,1/29/2024,2/4/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,2/5/2024,2/11/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,2/12/2024,2/18/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,2/19/2024,2/25/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,2/26/2024,3/3/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,3/4/2024,3/10/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,3/11/2024,3/17/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,3/18/2024,3/24/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,3/25/2024,3/31/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,4/1/2024,4/7/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,4/8/2024,4/14/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,4/15/2024,4/21/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,4/22/2024,4/28/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,4/29/2024,5/5/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,5/6/2024,5/12/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,5/13/2024,5/19/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,5/20/2024,5/26/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,5/27/2024,6/2/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,6/3/2024,6/9/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,6/10/2024,6/16/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,6/17/2024,6/23/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,6/24/2024,6/30/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,7/1/2024,7/7/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,7/8/2024,7/14/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,7/15/2024,7/21/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,7/22/2024,7/28/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,7/29/2024,8/4/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,8/5/2024,8/11/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,8/12/2024,8/18/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,8/19/2024,8/25/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,8/26/2024,9/1/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,9/2/2024,9/8/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,9/9/2024,9/15/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,9/16/2024,9/22/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,9/23/2024,9/29/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,9/30/2024,10/6/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,10/7/2024,10/13/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,10/14/2024,10/20/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,10/21/2024,10/27/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,10/28/2024,11/3/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,11/4/2024,11/10/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,11/11/2024,11/17/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,11/18/2024,11/24/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,11/25/2024,12/1/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,12/2/2024,12/8/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,12/9/2024,12/15/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,12/16/2024,12/22/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,12/23/2024,12/29/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,OE,12/30/2024,12/31/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,1/1/2024,1/7/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,1/8/2024,1/14/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,1/15/2024,1/21/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,1/22/2024,1/28/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,1/29/2024,2/4/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,2/5/2024,2/11/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,2/12/2024,2/18/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,2/19/2024,2/25/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,2/26/2024,3/3/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,3/4/2024,3/10/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,3/11/2024,3/17/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,3/18/2024,3/24/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,3/25/2024,3/31/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,4/1/2024,4/7/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,4/8/2024,4/14/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,4/15/2024,4/21/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,4/22/2024,4/28/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,4/29/2024,5/5/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,5/6/2024,5/12/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,5/13/2024,5/19/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,5/20/2024,5/26/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,5/27/2024,6/2/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,6/3/2024,6/9/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,6/10/2024,6/16/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,6/17/2024,6/23/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,6/24/2024,6/30/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,7/1/2024,7/7/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,7/8/2024,7/14/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,7/15/2024,7/21/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,7/22/2024,7/28/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,7/29/2024,8/4/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,8/5/2024,8/11/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,8/12/2024,8/18/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,8/19/2024,8/25/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,8/26/2024,9/1/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,9/2/2024,9/8/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,9/9/2024,9/15/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,9/16/2024,9/22/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,9/23/2024,9/29/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,9/30/2024,10/6/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,10/7/2024,10/13/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,10/14/2024,10/20/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,10/21/2024,10/27/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,10/28/2024,11/3/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,11/4/2024,11/10/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,11/11/2024,11/17/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,11/18/2024,11/24/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,11/25/2024,12/1/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,12/2/2024,12/8/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,12/9/2024,12/15/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,12/16/2024,12/22/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,12/23/2024,12/29/2024,0,WEEK,2000
100G QSFP28 SR4 Gen2,MODULE,12/30/2024,12/31/2024,0,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,1/1/2024,1/7/2024,3388,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,1/8/2024,1/14/2024,3388,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,1/15/2024,1/21/2024,3388,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,1/22/2024,1/28/2024,3388,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,1/29/2024,2/4/2024,2728,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,2/5/2024,2/11/2024,2233,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,2/12/2024,2/18/2024,2233,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,2/19/2024,2/25/2024,2233,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,2/26/2024,3/3/2024,2425,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,3/4/2024,3/10/2024,2681,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,3/11/2024,3/17/2024,2681,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,3/18/2024,3/24/2024,2681,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,3/25/2024,3/31/2024,2681,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,4/1/2024,4/7/2024,5201,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,4/8/2024,4/14/2024,5201,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,4/15/2024,4/21/2024,5201,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,4/22/2024,4/28/2024,5201,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,4/29/2024,5/5/2024,5686,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,5/6/2024,5/12/2024,5880,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,5/13/2024,5/19/2024,5880,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,5/20/2024,5/26/2024,5880,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,5/27/2024,6/2/2024,5816,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,6/3/2024,6/9/2024,5656,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,6/10/2024,6/16/2024,5656,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,6/17/2024,6/23/2024,5656,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,6/24/2024,6/30/2024,5656,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,7/1/2024,7/7/2024,5936,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,7/8/2024,7/14/2024,5936,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,7/15/2024,7/21/2024,5936,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,7/22/2024,7/28/2024,5936,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,7/29/2024,8/4/2024,5936,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,8/5/2024,8/11/2024,5936,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,8/12/2024,8/18/2024,5936,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,8/19/2024,8/25/2024,5936,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,8/26/2024,9/1/2024,5955,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,9/2/2024,9/8/2024,6069,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,9/9/2024,9/15/2024,6069,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,9/16/2024,9/22/2024,6069,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,9/23/2024,9/29/2024,6069,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,9/30/2024,10/6/2024,4275,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,10/7/2024,10/13/2024,3976,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,10/14/2024,10/20/2024,3976,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,10/21/2024,10/27/2024,3976,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,10/28/2024,11/3/2024,3832,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,11/4/2024,11/10/2024,3640,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,11/11/2024,11/17/2024,3640,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,11/18/2024,11/24/2024,3640,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,11/25/2024,12/1/2024,3624,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,12/2/2024,12/8/2024,3528,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,12/9/2024,12/15/2024,3528,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,12/16/2024,12/22/2024,3528,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,12/23/2024,12/29/2024,3528,WEEK,2000
100G QSFP28 SR4 Gen3,LENS,12/30/2024,12/31/2024,1008,WEEK,2000
100G QSFP28 SR4 Gen3,OE,1/1/2024,1/7/2024,3388,WEEK,2000
100G QSFP28 SR4 Gen3,OE,1/8/2024,1/14/2024,3388,WEEK,2000
100G QSFP28 SR4 Gen3,OE,1/15/2024,1/21/2024,3388,WEEK,2000
100G QSFP28 SR4 Gen3,OE,1/22/2024,1/28/2024,3388,WEEK,2000
100G QSFP28 SR4 Gen3,OE,1/29/2024,2/4/2024,2728,WEEK,2000
100G QSFP28 SR4 Gen3,OE,2/5/2024,2/11/2024,2233,WEEK,2000
100G QSFP28 SR4 Gen3,OE,2/12/2024,2/18/2024,2233,WEEK,2000
100G QSFP28 SR4 Gen3,OE,2/19/2024,2/25/2024,2233,WEEK,2000
100G QSFP28 SR4 Gen3,OE,2/26/2024,3/3/2024,2425,WEEK,2000
100G QSFP28 SR4 Gen3,OE,3/4/2024,3/10/2024,2681,WEEK,2000
100G QSFP28 SR4 Gen3,OE,3/11/2024,3/17/2024,2681,WEEK,2000
100G QSFP28 SR4 Gen3,OE,3/18/2024,3/24/2024,2681,WEEK,2000
100G QSFP28 SR4 Gen3,OE,3/25/2024,3/31/2024,2681,WEEK,2000
100G QSFP28 SR4 Gen3,OE,4/1/2024,4/7/2024,5201,WEEK,2000
100G QSFP28 SR4 Gen3,OE,4/8/2024,4/14/2024,5201,WEEK,2000
100G QSFP28 SR4 Gen3,OE,4/15/2024,4/21/2024,5201,WEEK,2000
100G QSFP28 SR4 Gen3,OE,4/22/2024,4/28/2024,5201,WEEK,2000
100G QSFP28 SR4 Gen3,OE,4/29/2024,5/5/2024,5686,WEEK,2000
100G QSFP28 SR4 Gen3,OE,5/6/2024,5/12/2024,5880,WEEK,2000
100G QSFP28 SR4 Gen3,OE,5/13/2024,5/19/2024,5880,WEEK,2000
100G QSFP28 SR4 Gen3,OE,5/20/2024,5/26/2024,5880,WEEK,2000
100G QSFP28 SR4 Gen3,OE,5/27/2024,6/2/2024,5816,WEEK,2000
100G QSFP28 SR4 Gen3,OE,6/3/2024,6/9/2024,5656,WEEK,2000
100G QSFP28 SR4 Gen3,OE,6/10/2024,6/16/2024,5656,WEEK,2000
100G QSFP28 SR4 Gen3,OE,6/17/2024,6/23/2024,5656,WEEK,2000
100G QSFP28 SR4 Gen3,OE,6/24/2024,6/30/2024,5656,WEEK,2000
100G QSFP28 SR4 Gen3,OE,7/1/2024,7/7/2024,5936,WEEK,2000
100G QSFP28 SR4 Gen3,OE,7/8/2024,7/14/2024,5936,WEEK,2000
100G QSFP28 SR4 Gen3,OE,7/15/2024,7/21/2024,5936,WEEK,2000
100G QSFP28 SR4 Gen3,OE,7/22/2024,7/28/2024,5936,WEEK,2000
100G QSFP28 SR4 Gen3,OE,7/29/2024,8/4/2024,5936,WEEK,2000
100G QSFP28 SR4 Gen3,OE,8/5/2024,8/11/2024,5936,WEEK,2000
100G QSFP28 SR4 Gen3,OE,8/12/2024,8/18/2024,5936,WEEK,2000
100G QSFP28 SR4 Gen3,OE,8/19/2024,8/25/2024,5936,WEEK,2000
100G QSFP28 SR4 Gen3,OE,8/26/2024,9/1/2024,5955,WEEK,2000
100G QSFP28 SR4 Gen3,OE,9/2/2024,9/8/2024,6069,WEEK,2000
100G QSFP28 SR4 Gen3,OE,9/9/2024,9/15/2024,6069,WEEK,2000
100G QSFP28 SR4 Gen3,OE,9/16/2024,9/22/2024,6069,WEEK,2000
100G QSFP28 SR4 Gen3,OE,9/23/2024,9/29/2024,6069,WEEK,2000
100G QSFP28 SR4 Gen3,OE,9/30/2024,10/6/2024,4275,WEEK,2000
100G QSFP28 SR4 Gen3,OE,10/7/2024,10/13/2024,3976,WEEK,2000
100G QSFP28 SR4 Gen3,OE,10/14/2024,10/20/2024,3976,WEEK,2000
100G QSFP28 SR4 Gen3,OE,10/21/2024,10/27/2024,3976,WEEK,2000
100G QSFP28 SR4 Gen3,OE,10/28/2024,11/3/2024,3832,WEEK,2000
100G QSFP28 SR4 Gen3,OE,11/4/2024,11/10/2024,3640,WEEK,2000
100G QSFP28 SR4 Gen3,OE,11/11/2024,11/17/2024,3640,WEEK,2000
100G QSFP28 SR4 Gen3,OE,11/18/2024,11/24/2024,3640,WEEK,2000
100G QSFP28 SR4 Gen3,OE,11/25/2024,12/1/2024,3624,WEEK,2000
100G QSFP28 SR4 Gen3,OE,12/2/2024,12/8/2024,3528,WEEK,2000
100G QSFP28 SR4 Gen3,OE,12/9/2024,12/15/2024,3528,WEEK,2000
100G QSFP28 SR4 Gen3,OE,12/16/2024,12/22/2024,3528,WEEK,2000
100G QSFP28 SR4 Gen3,OE,12/23/2024,12/29/2024,3528,WEEK,2000
100G QSFP28 SR4 Gen3,OE,12/30/2024,12/31/2024,1008,WEEK,2000
100G QSFP28 SR4 Gen3,MODULE,1/1/2024,1/7/2024,4739,WEEK,2000
100G QSFP28 SR4 Gen3,MODULE,1/8/2024,1/14/2024,4739,WEEK,2000
100G QSFP28 SR4 Gen3,MODULE,1/15/2024,1/21/2024,4739,WEEK,2000
100G QSFP28 SR4 Gen3,MODULE,1/22/2024,1/28/2024,4739,WEEK,2000
100G QSFP28 SR4 Gen3,MODULE,1/29/2024,2/4/2024,4483,WEEK,2000
100G QSFP28 SR4 Gen3,MODULE,2/5/2024,2/11/2024,4291,WEEK,2000
100G QSFP28 SR4 Gen3,MODULE,2/12/2024,2/18/2024,4291,WEEK,2000
100G QSFP28 SR4 Gen3,MODULE,2/19/2024,2/25/2024,4291,WEEK,2000
100G QSFP28 SR4 Gen3,MODULE,2/26/2024,3/3/2024,3235,WEEK,2000
100G QSFP28 SR4 Gen3,MODULE,3/4/2024,3/10/2024,1827,WEEK,2000
100G QSFP28 SR4 Gen3,MODULE,3/11/2024,3/17/2024,1827,WEEK,2000
100G QSFP28 SR4 Gen3,MODULE,3/18/2024,3/24/2024,1827,WEEK,2000
100G QSFP28 SR4 Gen3,MODULE,3/25/2024,3/31/2024,1827,WEEK,2000
100G QSFP28 SR4 Gen3,MODULE,4/1/2024,4/7/2024,1652,WEEK,2000
100G QSFP28 SR4 Gen3,MODULE,4/8/2024,4/14/2024,1652,WEEK,2000
100G QSFP28 SR4 Gen3,MODULE,4/15/2024,4/21/2024,1652,WEEK,2000
100G QSFP28 SR4 Gen3,MODULE,4/22/2024,4/28/2024,1652,WEEK,2000
100G QSFP28 SR4 Gen3,MODULE,4/29/2024,5/5/2024,2972,WEEK,2000
100G QSFP28 SR4 Gen3,MODULE,5/6/2024,5/12/2024,3500,WEEK,2000
100G QSFP28 SR4 Gen3,MODULE,5/13/2024,5/19/2024,3500,WEEK,2000
100G QSFP28 SR4 Gen3,MODULE,5/20/2024,5/26/2024,3500,WEEK,2000
100G QSFP28 SR4 Gen3,MODULE,5/27/2024,6/2/2024,3306,WEEK,2000
100G QSFP28 SR4 Gen3,MODULE,6/3/2024,6/9/2024,2821,WEEK,2000
100G QSFP28 SR4 Gen3,MODULE,6/10/2024,6/16/2024,2821,WEEK,2000
100G QSFP28 SR4 Gen3,MODULE,6/17/2024,6/23/2024,2821,WEEK,2000
100G QSFP28 SR4 Gen3,MODULE,6/24/2024,6/30/2024,2821,WEEK,2000
100G QSFP28 SR4 Gen3,MODULE,7/1/2024,7/7/2024,2044,WEEK,2000
100G QSFP28 SR4 Gen3,MODULE,7/8/2024,7/14/2024,2044,WEEK,2000
100G QSFP28 SR4 Gen3,MODULE,7/15/2024,7/21/2024,2044,WEEK,2000
100G QSFP28 SR4 Gen3,MODULE,7/22/2024,7/28/2024,2044,WEEK,2000
100G QSFP28 SR4 Gen3,MODULE,7/29/2024,8/4/2024,2044,WEEK,2000
100G QSFP28 SR4 Gen3,MODULE,8/5/2024,8/11/2024,2044,WEEK,2000
100G QSFP28 SR4 Gen3,MODULE,8/12/2024,8/18/2024,2044,WEEK,2000
100G QSFP28 SR4 Gen3,MODULE,8/19/2024,8/25/2024,2044,WEEK,2000
100G QSFP28 SR4 Gen3,MODULE,8/26/2024,9/1/2024,2054,WEEK,2000
100G QSFP28 SR4 Gen3,MODULE,9/2/2024,9/8/2024,2114,WEEK,2000
100G QSFP28 SR4 Gen3,MODULE,9/9/2024,9/15/2024,2114,WEEK,2000
100G QSFP28 SR4 Gen3,MODULE,9/16/2024,9/22/2024,2114,WEEK,2000
100G QSFP28 SR4 Gen3,MODULE,9/23/2024,9/29/2024,2114,WEEK,2000
100G QSFP28 SR4 Gen3,MODULE,9/30/2024,10/6/2024,2054,WEEK,2000
100G QSFP28 SR4 Gen3,MODULE,10/7/2024,10/13/2024,2044,WEEK,2000
100G QSFP28 SR4 Gen3,MODULE,10/14/2024,10/20/2024,2044,WEEK,2000
