Plant,删除标识,凭证日期,采购凭证,项目,PN,库存地点,Quantity,仍要交货(数量),短文本,订单单位,采购组,项目类别,物料组,Vendor,Vendor_Name
1000,,1/23/24,4500075141,10,313-0068,6010,450,450,"Silicon，Dow Corning，AP-3,30ml/支",PC,A10,0,313P87C2,100337, 帕克威乐新材料（深圳）有限公司
1000,,1/30/24,4900011006,10,220-0230-003,VM01,465,465,"Fiber,OM2,3m",PC,A04,2,220P6688,100094, 苏州天孚光通信股份有限公司
5000,,3/5/24,4500078392,10,313-0068,6010,468,468,"Silicon，Dow Corning，AP-3,30ml/支",PC,A10,0,313P87C2,200170, Parkweller New Material
5000,,2/6/24,4500076267,20,313-0068,6010,470,470,"Silicon，Dow Corning，AP-3,30ml/支",PC,A10,0,313P87C2,200170, Parkweller New Material
1000,,3/13/24,4900011704,10,220-0230-030,VM01,500,500,"Fiber,OM2,30m",PC,A04,2,220P6688,100094, 苏州天孚光通信股份有限公司
5000,,1/17/24,4500074536,30,310-0104,6010,910,500,"Epoxy,Henkel,BF-4,10ml/支",PC,A10,0,313P87C2,200175, Shanghai Reliant Materials Technolo
5000,,3/4/24,4500078208,10,313-0039,6010,523,523,"Silicon,Dow Corning,TC-3065,30ml/支",PC,A10,0,313P87C2,200170, Parkweller New Material
1000,,2/1/24,4900011045,20,220-0230-002,VM01,555,555,"Fiber,OM2,2m",PC,A04,2,220P6688,100094, 苏州天孚光通信股份有限公司
1000,,1/23/24,4500075157,10,313-0059,6010,570,570,"Epoxy,Epo-Tek,HYB-353ND-Tx2,3ml/支",PC,A10,0,313P87C2,100041, 技硕贸易（上海）有限公司
5000,,2/29/24,4500077963,10,313-0059,6010,593,593,"Epoxy,Epo-Tek,HYB-353ND-Tx2,3ml/支",PC,A10,0,313P87C2,400481, PAS Bangkok Co.; Ltd
5000,,2/1/24,4500075878,10,313-0041,6010,600,600,"Epoxy,Aventk，4034W1,3ml/支",PC,A10,0,313P87C2,500061, Suzhou liangyada Electromechanical
1000,,2/22/24,4500077306,10,313-0001,6010,630,630,"Epoxy,NGAC,P907-30,3ml/支",PC,A10,0,313P87C2,200085, NGAC LLC.
5000,,2/6/24,4500076265,30,310-0104,6010,660,660,"Epoxy,Henkel,BF-4,10ml/支",PC,A10,0,313P87C2,200175, Shanghai Reliant Materials Technolo
1000,,2/1/24,4900011045,30,220-0230-005,VM01,660,660,"Fiber,OM2,5m",PC,A04,2,220P6688,100094, 苏州天孚光通信股份有限公司
1000,,3/6/24,4500078541,30,310-0147,6010,700,700,"Epoxy,Henkel,EO1016,30ml/支",PC,A10,0,313P87C2,100033, 上海锐隆材料科技有限公司
1000,,2/22/22,4500042039,10,542-0007,6010,145000,709,"DSP SMT BOM,Driver MAX24025",PC,A22,3,504P5071,400160, 苏州欧肯葵电子有限公司
1000,,2/1/24,4900011045,10,220-0230-001,VM01,735,735,"Fiber,OM2,1m",PC,A04,2,220P6688,100094, 苏州天孚光通信股份有限公司
1000,,2/22/24,4500077268,10,313-0043,6010,765,765,"Epoxy,Threebond,3114,3ml/支",PC,A10,0,313P87C2,100353, 上海佳鹄实业有限公司
