PRODUCT_ID,Revesion level,VENDOR_ID,LOCATION,PREFERENCE/Quota,EFFECTIVE_START,EFFECTIVE_END,LEAD_DAYS_SUPPLY,CYCLE_DAYS_SUPPLY
160-1153,4B,100019,1000,80,2023.01.09,2023.12.31,83,
160-1153,4B,100204,1000,20,2023.01.09,2023.12.31,83,
160-1153,4B,100307,1000,0,2023.01.09,2023.12.31,83,
160-1291,1B,100019,1000,80,2023.01.09,2023.12.31,69,
160-1291,1B,100204,1000,20,2023.01.09,2023.12.31,69,
160-1291,1B,100307,1000,0,2023.01.09,2023.12.31,69,
280-0213,1A,200057,1000,100,2023.01.01,2023.12.31,95,
280-0397,1B,100357,1000,100,2023.01.01,2023.12.31,67,
280-0425,1A,100136,1000,100,2023.01.01,2023.12.31,123,
280-0431,1B,100073,1000,0,2023.01.03,2023.12.31,53,
280-0431,1B,100143,1000,60,2023.01.03,2023.12.31,53,
280-0431,1B,100345,1000,40,2023.01.03,2023.12.31,53,
280-0439,1A,100143,1000,100,2023.01.05,2023.12.31,53,
280-0439,1A,100345,1000,0,2023.01.01,2023.12.31,53,
280-0440,1A,100143,1000,100,2023.01.05,2023.12.31,53,
280-0440,1A,100345,1000,0,2023.01.01,2023.12.31,53,
280-0441,1A,100143,1000,100,2023.01.05,2023.12.31,52,
280-0441,1A,100345,1000,0,2023.01.01,2023.12.31,52,
280-0442,1A,100143,1000,100,2023.01.05,2023.12.31,53,
280-0442,1A,100345,1000,0,2023.01.01,2023.12.31,53,
280-0443,1A,100143,1000,100,2023.01.05,2023.12.31,53,
280-0443,1A,100345,1000,0,2023.01.01,2023.12.31,53,
280-0444,1A,100143,1000,100,2023.01.05,2023.12.31,53,
280-0444,1A,100345,1000,0,2023.01.01,2023.12.31,53,
280-0445,1A,100143,1000,100,2023.01.05,2023.12.31,53,
280-0445,1A,100345,1000,0,2023.01.01,2023.12.31,53,
280-0446,1A,100143,1000,100,2023.01.05,2023.12.31,53,
280-0446,1A,100345,1000,0,2023.01.01,2023.12.31,53,
280-0447,1A,100143,1000,100,2023.01.05,2023.12.31,53,
280-0447,1A,100345,1000,0,2023.01.01,2023.12.31,53,
280-0511-03,1A,100345,1000,100,2023.01.01,2023.12.31,50,
280-0511-04,1A,100345,1000,100,2023.01.01,2023.12.31,50,
280-0511-05,1A,100345,1000,100,2023.01.01,2023.12.31,50,
280-0511-06,1A,100345,1000,100,2023.01.01,2023.12.31,53,
280-0546,1A,100143,1000,100,2023.01.05,2023.12.31,53,
280-0546,1A,100345,1000,0,2023.01.01,2023.12.31,53,
280-0547,1A,100143,1000,100,2023.01.05,2023.12.31,53,
280-0547,1A,100345,1000,0,2023.01.01,2023.12.31,53,
280-0548,1A,100143,1000,100,2023.01.05,2023.12.31,53,
280-0548,1A,100345,1000,0,2023.01.01,2023.12.31,53,
280-0549,1A,100143,1000,100,2023.01.05,2023.12.31,53,
