PN,Plant,Vendor
310-0238,2000,0000100199
320-0493,2000,0000100096
320-0284,2000,0000100189
280-0650,2000,0000100073
280-0700,2000,0000100073
280-0701,2000,0000100073
330-0273,2000,0000100009
330-0271,2000,0000100175
280-0861,2000,0000100143
280-0865,2000,0000100143
280-0866,2000,0000100143
280-0867,2000,0000100143
280-0862,2000,0000100143
280-0786,2000,0000100073
280-0897,2000,0000100143
280-0898,2000,0000100143
220-0072,2000,0000100136
160-1186,2000,0000100019
160-1168,2000,0000100204
310-0505,2000,0000100189
310-0494-001,2000,0000100102
310-0494-002,2000,0000100102
310-0494-003,2000,0000100102
310-0494-005,2000,0000100102
310-0494-007,2000,0000100102
310-0494-010,2000,0000100102
310-0494-015,2000,0000100102
310-0494-020,2000,0000100102
280-0845-002,2000,0000100136
300-0168,2000,0000100102
300-0169,2000,0000100102
300-0180,2000,0000100102
310-0147,2000,0000100191
300-0179,2000,0000100102
120-0152,2000,0000100148
100-0084,2000,0000200075
110-0284,2000,0000100215
280-0933,2000,0000100207
280-0932,2000,0000100207
280-0933,2000,0000100197
280-0932,2000,0000100197
320-0501,2000,0000100096
320-0502,2000,0000100096
280-0940,2000,0000100094
280-0787,2000,0000100073
320-0503,2000,0000100096
280-0981-N0,2000,0000200080
280-0981-N1,2000,0000200080
280-0981-N2,2000,0000200080
280-0981-N3,2000,0000200080
330-0266,2000,0000100175
330-0266,2000,0000100009
310-0521,2000,0000100078
330-0135,2000,0000100175
280-0991,2000,0000100143
280-0992,2000,0000100143
280-0994,2000,0000100143
280-0995,2000,0000100143
350-0156,2000,0000100187
100-0141,2000,0000100100
100-0142,2000,0000100100
100-0143,2000,0000100100
100-0143,2000,0000100148
320-0516,2000,0000100096
320-0517,2000,0000100096
280-0431,2000,0000100096
280-0698,2000,0000100096
280-0699,2000,0000100096
100-0144,2000,0000100148
140-0481,2000,0000200011
320-0518,2000,0000100096
100-0141,2000,0000100148
100-0142,2000,0000100148
280-0696,2000,0000200092
280-0810,2000,0000200092
280-0696,2000,0000200048
280-0810,2000,0000200048
280-0702,2000,0000100096
280-0705,2000,0000100096
280-0695,2000,0000100096
280-0791,2000,0000100096
280-1013,2000,0000100143
100-0122,2000,0000100100
310-0504,2000,0000100189
280-0845-050,2000,0000100136
320-0535,2000,0000100096
280-0423,2000,0000100217
280-1011,2000,0000100197
110-0311,2000,0000100067
110-0216,2000,0000100067
160-1179-00,2000,0000100019
280-0798,2000,0000100094
280-0423,2000,0000100026
280-0791,2000,0000100132
320-0438,2000,0000100132
320-0439,2000,0000100132
320-0516,2000,0000100193
320-0517,2000,0000100193
280-0425,2000,0000200110
280-0695,2000,0000100132
280-0705,2000,0000100132
280-0698,2000,0000100132
280-0699,2000,0000100132
280-0702,2000,0000100132
330-0284,2000,0000100009
280-0423,2000,0000100230
320-0436,2000,0000100144
320-0437,2000,0000100144
320-0410,2000,0000100144
320-0493,2000,0000100144
320-0413,2000,0000100144
280-0932,2000,0000100143
280-0933,2000,0000100143
350-0071,2000,0000100187
280-0701,2000,0000100018
280-0991,2000,0000100132
280-0992,2000,0000100132
280-0789-10A,2000,0000100207
280-0789-10B,2000,0000100207
280-0789-10C,2000,0000100207
280-0990,2000,0000100143
280-1011,2000,0000100143
330-0292,2000,0000100175
350-0205,2000,0000100003
300-0195,2000,0000100189
110-0368,2000,0000100176
110-0369,2000,0000100176
110-0371,2000,0000100176
110-0372,2000,0000100176
110-0374,2000,0000100176
110-0375,2000,0000100176
110-0376,2000,0000100176
110-0377,2000,0000100176
110-0378,2000,0000100176
110-0379,2000,0000100176
110-0380,2000,0000100176
110-0381,2000,0000100176
280-0423,2000,0000100094
280-0793,2000,0000100094
300-0140,2000,0000100102
300-0141,2000,0000100102
300-0121,2000,0000100102
300-0122,2000,0000100102
300-0144,2000,0000100102
300-0145,2000,0000100102
350-0206,2000,0000100078
350-0207,2000,0000100078
280-1014-27,2000,0000200121
280-1014-29,2000,0000200121
280-1014-31,2000,0000200121
280-1014-33,2000,0000200121
280-0654,2000,0000200121
280-0845-008,2000,0000100136
280-0845-006,2000,0000100136
280-0845-013,2000,0000100136
280-0992,2000,0000100096
310-0414-01,2000,0000100041
140-0547,2000,0000200006
280-0848,2000,0000100228
310-0300,2000,0000100078
280-0940,2000,0000100073
320-0577,2000,0000100193
320-0550,2000,0000100096
320-0577,2000,0000100170
160-1218,2000,0000100019
320-0491,2000,0000100144
282-0014,2000,0000100143
282-0015,2000,0000100143
282-0016,2000,0000100143
161-0159,2000,0000100020
320-0441,2000,0000100096
320-0580,2000,0000100170
320-0582,2000,0000100170
320-0583,2000,0000100170
320-0585,2000,0000100170
280-0739,2000,0000200121
280-0467,2000,0000200123
280-1019,2000,0000200123
310-0560,2000,0000100102
320-0517,2000,0000100170
280-0952,2000,0000200092
280-0439,2000,0000100096
280-0549,2000,0000100096
280-0553,2000,0000100096
320-0577,2000,0000100096
220-0072,2000,0000100192
310-0573,2000,0000100102
280-0607,2000,0000200123
280-0996,2000,0000100143
280-0997,2000,0000100143
280-0998,2000,0000100143
280-0999,2000,0000100143
280-1000,2000,0000100143
280-1001,2000,0000100143
280-1002,2000,0000100143
280-0897,2000,0000100132
280-0898,2000,0000100132
310-0572,2000,0000100102
350-0229,2000,0000100187
