版次,MES质检库存,PN,Description,Plant,Storage,StorageDescription,SN,UnconstrainedQuantity
,,280-0837,,2000,6010,,,2444.000
,,280-0845-050,,1000,9023,,,50.000
,,280-0848,,2000,3016,,,8989.000
,,280-0848,,2000,6010,,,53200.000
,,280-0861,,2000,3016,,,11858.000
,,280-0862,,2000,3016,,,9424.000
,,280-0862,,2000,6010,,,9920.000
,,280-0865,,2000,1016,,,2473.000
,,280-0866,,2000,1016,,,1385.000
,,280-0867,,2000,1016,,,288.000
,,280-0897,,1000,7010,,,21300.000
,,280-0897,,2000,2016,,,875.000
,,280-0897,,2000,6010,,,81500.000
,,280-0898,,1000,1016,,,528.000
,,280-0898,,2000,2016,,,7720.000
,,280-0932,,2000,1016,,,5319.000
,,280-0932,,2000,6010,,,124752.000
,,280-0933,,2000,1016,,,6341.000
,,280-0933,,2000,6010,,,36333.000
,,280-0952,,2000,1030,,,18117.000
,,280-0981-N0,,1000,7010,,,10915.000
,,280-0981-N0,,2000,1016,,,358.000
,,280-0981-N1,,1000,7010,,,5077.000
,,280-0981-N1,,2000,1016,,,231.000
,,280-0981-N2,,1000,7010,,,35113.000
,,280-0981-N2,,2000,1016,,,5050.000
,,280-0981-N3,,1000,7010,,,6334.000
,,280-0981-N3,,2000,1016,,,1066.000
,,280-0992,,2000,1016,,,29150.000
,,280-0994,,1000,7010,,,700.000
,,280-0994,,2000,2016,,,526.000
,,280-0995,,2000,2016,,,782.000
,,280-0999,,1000,9023,,,24000.000
,,280-0999,,2000,9023,,,900.000
,,280-1002,,1000,2016,,,400.000
,,280-1002,,1000,7010,,,7000.000
,,280-1002,,2000,2016,,,200.000
,,280-1002,,2000,7010,,,800.000
,,280-1011,,1000,1016,,,5434.000
,,280-1011,,2000,1016,,,21427.000
,,280-1011,,2000,6010,,,103459.000
,,280-1018,,1000,7010,,,16004.000
,,280-1018,,2000,3016,,,9805.000
,,280-1018,,2000,6010,,,51901.000
,,280-1019,,2000,3016,,,25274.000
,,280-1019,,2000,6010,,,10010.000
,,280-1049-27,,2000,1016,,,747.000
,,280-1049-27-RW,,2000,1016,,,35.000
,,280-1049-27-RW,,2000,3028,,,4025.000
,,280-1049-29,,2000,1016,,,1104.000
,,280-1049-29-RW,,2000,3015,,,651.000
,,280-1049-29-RW,,2000,3028,,,3409.000
,,280-1049-31-RW,,2000,3015,,,112.000
,,280-1049-31-RW,,2000,3028,,,3948.000
,,280-1049-33,,2000,1016,,,1010.000
,,280-1049-33-RW,,2000,1016,,,35.000
,,280-1049-33-RW,,2000,3028,,,4025.000
