penalty_id,PenaltyFunctionElem
percentage,MethodAltElem
period_mgr_id,Cal
period_mgr_id,Location
period_mgr_id,PeriodMgrElem
period_mgr_id,Resource
period_mgr_id,Storage
policy,SafetyStock
post_processing_time,Op
post_processing_time,OpOverridesCom
post_processing_time,OpOverridesRes
post_processing_time,OpOverridesString
post_processing_time,OpOverridesTime
preferance,StorageAltElem
preference,BoMElem
preference,BoRAltElem
preference,CfiOverrideElem
preference,MethodAltElem
preference,ResAltElem
preference,RouteSegStepSeq
preprocess_choice_rule,RouteSegment
prev_main_id,ResPrevPrgrm
prev_main_id,SFSResSched
prio_matrix_id,OpPriorityMatrix
prio_matrix_id,PriorityMatrixElem
priority,Demand
priority,PriorityMatrixElem
priority,SafetyStock
priority,WorkOrders
process_time_first_unit,Op
process_time_first_unit,OpOverridesCom
process_time_first_unit,OpOverridesRes
process_time_first_unit,OpOverridesString
process_time_first_unit,OpOverridesTime
process_time_increment,Op
process_time_increment,OpOverridesCom
process_time_increment,OpOverridesRes
process_time_increment,OpOverridesString
process_time_increment,OpOverridesTime
process_type,Op
process_type,OpOverridesCom
process_type,OpOverridesRes
process_type,OpOverridesString
process_type,OpOverridesTime
processing_time,Setup
production_rate,BoGElem
purchase,EMSThresholds
qty,LotBoMSubst
qty,Supply
quantity,CapPatternElem
quantity,DemandElem
quantity,DemandMasterElem
quantity,WorkOrders
QuoteOwner,Demand
rank,CommodityGrades
rank_excess,EMSThresholds
rank_lost_time,EMSThresholds
rank_wip,EMSThresholds
rate,BoMElem
rate,BoRElem
ratio,BoCElem
rds_algorithm,Resource
rds_bottleneck_flag,Resource
rds_down_tolerance,Resource
rds_last_setup_time,Resource
rds_min_window,Resource
rds_new_setup_type_run,Resource
rds_respect_setup_span,Resource
rds_sequence_flag,Resource
rds_setup_type_run,Resource
rds_wait_window,Resource
rds_waiting_time,Resource
relation_type,SetupMatrixGrpModif
relation_type,SetupMatrixModif
remaining_qty,WipStepLots
remaining_time,WipStepLots
replenish_period,Inventory
req_due_time,Supply
req_due_time,WorkOrders
request_due_time,Demand
request_due_time,DemandMaster
requested_quantity,DemandElem
res_factor,Storage
res_from_id,ResTransferTime
res_id,ActLots
res_id,OpOverridesRes
res_id,ResAltElem
res_id,SFSLotAct
res_id,SFSResAct
res_id,SFSResPortion
res_id,SFSResSched
res_id,WipResLots
res_id,WipStepLots
res_type,OpOverridesString
resalt_id,BoRElem
resalt_id,ResAltElem
resalt_id,WipResLots
resalt_id,WipStepLots
resolution,Inventory
resource_id,ResCapExc
resource_id,ResCapInter
