MODEL_ID,ERROR_ID,SOURCE_TABLE_NAME,SOURCE_COLUMN_NAME,LOOKUP_TABLE_NAME,ERROR_VALUE,ERROR_TIMESTAMP,RELATED_IDENTIFIER
DSM,22012,NULL,NULL,NULL,000000002051650312@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,000000002051650313@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,000000002051650314@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,000000002051650315@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,000000002051650411@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,000000002051650412@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,000000002051650413@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,000000002051650414@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,000000002051650415@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,000000002051650511@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,000000002051650512@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,000000002051650513@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,000000002051650514@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,000000002051650515@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,000000002051820002@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,000000002051820017@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,000000002051820051@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,000000002051820052@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,000000002051820053@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,000000002051820054@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,002551-02@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,003102-02@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,003391-02@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,003391-05@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,003391-06@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,003391-07@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,003439-01@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,003571-02@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,003576-01@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,003598-06@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,003598-08@7040,2024-05-03 06:10:25.867,NULL
DSM,22012,NULL,NULL,NULL,003598-09@7040,2024-05-03 06:10:25.867,NULL
